"","Microfossil_Type","Morphotype","Genus_Type","Species","Variety","Sample_ID","Transect","Count","Recorder"
"1","Diatom","Araphid",NA,"spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"2","Diatom","Araphid","Fragilaria","vaucheriae",NA,"V332333_L2072",1,0,"Megan O'toole"
"3","Diatom","Araphid","Fragilariales","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"4","Diatom","Araphid","Odontidium","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"5","Diatom","Araphid","Punctastriata","mimetica",NA,"V332333_L2072",1,0,"Megan O'toole"
"6","Diatom","Araphid","Pseudostaurosira","brevistriata",NA,"V332333_L2072",1,0,"Megan O'toole"
"7","Diatom","Araphid","Pseudostaurosira","trainorii",NA,"V332333_L2072",1,0,"Megan O'toole"
"8","Diatom","Araphid","Staurosira","construens","construens","V332333_L2072",1,0,"Megan O'toole"
"9","Diatom","Araphid","Staurosira","construens","binodis","V332333_L2072",1,0,"Megan O'toole"
"10","Diatom","Araphid","Staurosira","construens","venter","V332333_L2072",1,0,"Megan O'toole"
"11","Diatom","Araphid","Staurosirella","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"12","Diatom","Araphid","Staurosirella","leptostauron","leptostauron","V332333_L2072",1,0,"Megan O'toole"
"13","Diatom","Araphid","Staurosirella","leptostauron","dubia","V332333_L2072",1,0,"Megan O'toole"
"14","Diatom","Araphid","Staurosirella","pinnata",NA,"V332333_L2072",1,0,"Megan O'toole"
"15","Diatom","Araphid","Tetracyclus","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"16","Diatom","Asymmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",1,5,"Megan O'toole"
"17","Diatom","Asymmetric_Biraphid","Amphora","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"18","Diatom","Asymmetric_Biraphid","Amphora","coffeaeformis",NA,"V332333_L2072",1,0,"Megan O'toole"
"19","Diatom","Asymmetric_Biraphid","Cymbella","spp.",NA,"V332333_L2072",1,5,"Megan O'toole"
"20","Diatom","Asymmetric_Biraphid","Cymbella","cymbiformis",NA,"V332333_L2072",1,0,"Megan O'toole"
"21","Diatom","Asymmetric_Biraphid","Encyonema","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"22","Diatom","Asymmetric_Biraphid","Gomphoneis","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"23","Diatom","Centric",NA,"spp.",NA,"V332333_L2072",1,7,"Megan O'toole"
"24","Diatom","Centric","Actinocyclus","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"25","Diatom","Centric","Alveophora","americana",NA,"V332333_L2072",1,0,"Megan O'toole"
"26","Diatom","Centric","Aulocoseira","spp.",NA,"V332333_L2072",1,6,"Megan O'toole"
"27","Diatom","Centric","Aulocoseira","ambigua",NA,"V332333_L2072",1,0,"Megan O'toole"
"28","Diatom","Centric","Aulocoseira","canadensis",NA,"V332333_L2072",1,0,"Megan O'toole"
"29","Diatom","Centric","Aulocoseira","pusilla",NA,"V332333_L2072",1,0,"Megan O'toole"
"30","Diatom","Centric","Aulocoseira","subarctica",NA,"V332333_L2072",1,0,"Megan O'toole"
