"Sample_ID","strat_level","sample_type","sample_label","V_number","LSPEC","CSTRAT","YEAR","has_age_data","age_quality","notes"
"V330400_L0040",40,"Stickleback","L0040","V330400","L0040",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330455_L0095",95,"Stickleback","L0095","V330455","L0095",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330470_L110",110,"Stickleback","L110","V330470","L0110",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330499_L0141",413.4,"Stickleback","L0141","V330499","L0141",413.4,12247.826,TRUE,"Both depth and age",""
"V330519_L0161",161,"Stickleback","L0161","V330519","L0161",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330606_L0257",94.55,"Stickleback","L0257","V330606","L0257",94.55,22573.114,TRUE,"Both depth and age",""
"V330611_L0262",99.45,"Stickleback","L0262","V330611","L0262",99.45,22414.438,TRUE,"Both depth and age",""
"V330632_L0286",286,"Stickleback","L0286","V330632","L0286",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330640_L0294",89.75,"Stickleback","L0294","V330640","L0294",89.75,22728.552,TRUE,"Both depth and age",""
"V330641_L0295",89.15,"Stickleback","L0295","V330641","L0295",89.15,22747.982,TRUE,"Both depth and age",""
"V330643_L0297",297,"Stickleback","L0297","V330643","L0297",NA,NA,FALSE,"No age data","Missing age/depth data"
"V330663_L0317",86.95,"Stickleback","L0317","V330663","L0317",86.95,22819.224,TRUE,"Both depth and age",""
"V330692_L0349",104.85,"Stickleback","L0349","V330692","L0349",104.85,22239.571,TRUE,"Both depth and age",""
"V331589_L1308",455.15,"Stickleback","L1308","V331589","L1308",455.15,10895.84,TRUE,"Both depth and age",""
"V331643_L1363",458.05,"Stickleback","L1363","V331643","L1363",458.05,10801.93,TRUE,"Both depth and age",""
"V331739_L1466",1466,"Stickleback","L1466","V331739","L1466",NA,NA,FALSE,"No age data","Missing age/depth data"
"V331999_L1729",467.45,"Stickleback","L1729","V331999","L1729",467.45,10497.53,TRUE,"Both depth and age",""
"V332269_L2007",475.1,"Stickleback","L2007","V332269","L2007",475.1,10249.801,TRUE,"Both depth and age",""
"V332333_L2072",2072,"Stickleback","L2072","V332333","L2072",NA,NA,FALSE,"No age data","Missing age/depth data"
"V332357_L2097",2097,"Stickleback","L2097","V332357","L2097",NA,NA,FALSE,"No age data","Missing age/depth data"
"V332407_L2150",447.2,"Stickleback","L2150","V332407","L2150",447.2,11153.284,TRUE,"Both depth and age",""
"V332424_L2167",617.1,"Stickleback","L2167","V332424","L2167",617.1,5651.429,TRUE,"Both depth and age",""
"V332514_L2257",625,"Stickleback","L2257","V332514","L2257",625,5395.604,TRUE,"Both depth and age",""
"V332534_L2278",620.4,"Stickleback","L2278","V332534","L2278",620.4,5544.565,TRUE,"Both depth and age",""
