"Taxon","total_abundance","n_samples","max_abundance","percent_of_total","rank","cumulative_percent"
"Unknown_Fragment",10868,40,641,55.68,1,55.7
"Centric",4701,40,482,24.09,2,79.8
"Pennates",1897,7,601,9.72,3,89.5
"Asymmetric_Biraphid",549,39,40,2.81,4,92.3
"Symmetric_Biraphid",537,36,65,2.75,5,95
"Araphid",479,37,60,2.45,6,97.5
"Eunotioid",224,31,22,1.15,7,98.7
"Monoraphid",114,11,30,0.58,8,99.2
"Epithemioid",84,19,18,0.43,9,99.7
"Surirelloid",58,15,13,0.3,10,100
"Nitzschioid",6,5,2,0.03,11,100
