"depth","age","sample_type","shannon","richness","total_abundance"
659.7,4271.917,"Stickleback",1.26339482870773,6,68
656.6,4372.304,"Stickleback",1.65392950346851,6,23
651.55,4535.838,"Stickleback",1.05634968885203,5,50
642.45,4830.522,"Stickleback",1.18643095258187,5,120
639.45,4927.671,"Stickleback",0.885031918540738,5,61
636.6,5019.962,"Stickleback",1.25424857420829,5,119
633.7,5113.873,"Stickleback",0.908675523164976,6,170
630.9,5204.545,"Stickleback",0.9353283296766,6,54
627.9,5301.694,"Stickleback",0.158410570131791,2,27
625,5395.604,"Stickleback",0.664280249262073,4,39
620.4,5544.565,"Stickleback",0.574419727512094,4,40
617.1,5651.429,"Stickleback",0.47875333041029,3,29
475.1,10249.801,"Stickleback",1.3273207805826,9,516
467.45,10497.53,"Stickleback",1.17757392067229,8,740
458.05,10801.93,"Stickleback",1.35513452716888,8,543
455.15,10895.84,"Stickleback",1.25015666853936,8,739
447.2,11153.284,"Stickleback",1.20865371058208,8,786
413.4,12247.826,"Stickleback",0.999499646358669,6,116
104.85,22239.571,"Stickleback",0.874008330001183,4,41
99.45,22414.438,"Stickleback",0.977925226621021,4,36
94.55,22573.114,"Stickleback",1.23234901201623,6,178
89.75,22728.552,"Stickleback",1.1917713287781,5,140
89.15,22747.982,"Stickleback",1.33431635861795,7,137
86.95,22819.224,"Stickleback",0.932152062924587,5,60
