"","fish_id","n","ID","part_type","bin","merged","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm"
"1","V330388",10,"V330388_L28_1_P.jpg","merged","L0028",TRUE,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.5412
"2","V330391",13,"V330391_L31_1_P.jpg","merged","L0031",TRUE,4748.5864,566.9275,0,0,0,0,0,0,0,0,0,10,8,17,12,4,130.0615,0,NA,NA,0,NA,647.299,608.9105,102.489,689.362
"3","V330395",16,"V330395_L35_1_P.jpg","merged","L0035",TRUE,3080.1558,332.9897,1,NA,0,0,0,0,1,94.8683,0,9,8,18,11,4,218.0826,0,NA,NA,0,NA,387.1034,303.0891,57.3487,694.1458
"4","V330404",34,"V330404_L44_1_P.jpg","merged","L0044",TRUE,3692.0494,474.6936,0,0,0,0,0,0,1,66.7083,0,8,7,16,11,6,109.1788,2,287.1237,NA,0,681.5541,620.6319,NA,130.384,702.5667
"5","V330447",52,"V330447_L87_1_P.jpg","merged","L0087",TRUE,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.5826
"6","V330461",63,"V330461_L101_1_P.jpg","merged","L0101",TRUE,NA,NA,0,0,0,0,0,1,0,107.8703,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,719.9806
"7","V330480",86,"V330480_L120_1_P.jpg","merged","L0120",TRUE,NA,476.8604,0,0,0,0,0,0,0,0,0,0,0,16,12,0,NA,0,NA,NA,0,550.1309,612.0163,NA,192.333,708.0113
"8","V330488",97,"V330488_L130_1_P.jpg","merged","L0130",TRUE,NA,540.0207,0,0,0,0,0,0,1,163.2176,0,0,0,0,0,5,149.3452,0,NA,NA,0,NA,632.5694,596.8584,NA,720.8994
"9","V330489",98,"V330489_L131_1_P.jpg","merged","L0131",TRUE,2782.6306,330.8426,0,0,0,0,0,0,1,109.2016,0,9,8,17,12,4,138,0,NA,NA,0,120.1499,354,388.2074,61.8466,707.2652
"10","V330499",116,"V330499_L141_1_P.jpg","merged","L0141",TRUE,3781.8436,489.7141,0,0,0,1,201.598,0,0,NA,1,8,7,16,12,6,171.9448,2,330.8904,NA,0,488.8988,NA,610.5443,63.8679,691.575
"11","V330500",117,"V330500_L142_1_P.jpg","merged","L0142",TRUE,NA,448.6477,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79.2591,0,NA,NA,0,189.4756,588.6731,563.0497,135.8308,722.5206
"12","V330504",122,"V330504_L146_1_P.jpg","merged","L0146",TRUE,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,686.1873
"13","V330510",127,"V330510_L152_1_C.jpg","merged","L0152",TRUE,2937.8824,354.8383,0,0,0,0,0,0,1,85.9069,0,7,8,17,13,4,131.2136,0,NA,NA,0,115.8016,355.2689,351.8707,126.0357,726.731
"14","V330511",128,"V330511_L153_1_C.jpg","merged","L0153",TRUE,3165.4533,415.654,0,0,0,0,0,0,0,0,0,10,8,18,13,5,109.0367,0,NA,NA,0,164.0152,503.607,395.3859,78.5175,711.4049
"15","V330516",131,"V330516_L158_1_C.jpg","merged","L0158",TRUE,NA,479.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72.308,0,NA,NA,0,NA,NA,NA,NA,711.3101
"16","V330518",132,"V330518_L160_1_P.jpg","merged","L0160",TRUE,3068.5866,362.1654,0,0,0,1,228.0351,1,0,128.0625,0,7,7,18,13,NA,NA,0,NA,NA,0,116.0172,324.5489,248.8453,NA,717.0077
"17","V330521",133,"V330521_L163_1_C.jpg","merged","L0163",TRUE,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,189.5943,591.6164,520.0481,NA,702.1602
"18","V330522",134,"V330522_L164_1_P.jpg","merged","L0164",TRUE,NA,426.1626,0,0,0,1,125.39935,0,0,0,1,0,0,0,0,4,NA,0,NA,NA,0,183.5211,NA,NA,NA,700.0357
