"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V330388",10,"V330388_L28_1_P.jpg","merged","L0028",TRUE,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.5412,0,NA,NA,NA,NA
"V330391",13,"V330391_L31_1_P.jpg","merged","L0031",TRUE,13,4748.5864,566.9275,0,0,0,0,0,0,0,0,0,10,8,17,12,4,130.0615,0,NA,NA,0,NA,647.299,608.9105,102.489,689.362,0,469.85,317.4,10419.811,10500
"V330395",16,"V330395_L35_1_P.jpg","merged","L0035",TRUE,16,3080.1558,332.9897,1,NA,0,0,0,0,1,94.8683,0,9,8,18,11,4,218.0826,0,NA,NA,0,NA,387.1034,303.0891,57.3487,694.1458,0,486.7,300.55,9874.159,10000
"V330404",34,"V330404_L44_1_P.jpg","merged","L0044",TRUE,34.5,3692.0494,474.6936,0,0,0,0,0,0,1,66.7083,0,8,7,16,11,6,109.1788,2,287.1237,NA,0,681.5541,620.6319,NA,130.384,702.5667,0,510.9,276.35,9090.493,9250
"V330447",52,"V330447_L87_1_P.jpg","merged","L0087",TRUE,52,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.5826,1,NA,NA,NA,NA
"V330461",63,"V330461_L101_1_P.jpg","merged","L0101",TRUE,63,NA,NA,0,0,0,0,0,1,0,107.8703,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,719.9806,0,247.5,539.75,17620.15,17750
"V330480",86,"V330480_L120_1_P.jpg","merged","L0120",TRUE,87.5,NA,476.8604,0,0,0,0,0,0,0,0,0,0,0,16,12,0,NA,0,NA,NA,0,550.1309,612.0163,NA,192.333,708.0113,0,411.6,375.65,12306.115,12500
"V330488",97,"V330488_L130_1_P.jpg","merged","L0130",TRUE,97,NA,540.0207,0,0,0,0,0,0,1,163.2176,0,0,0,0,0,5,149.3452,0,NA,NA,0,NA,632.5694,596.8584,NA,720.8994,0,427.85,359.4,11779.893,12000
"V330489",98,"V330489_L131_1_P.jpg","merged","L0131",TRUE,98,2782.6306,330.8426,0,0,0,0,0,0,1,109.2016,0,9,8,17,12,4,138,0,NA,NA,0,120.1499,354,388.2074,61.8466,707.2652,NA,351.5,435.75,14252.328,14500
"V330499",116,"V330499_L141_1_P.jpg","merged","L0141",TRUE,116,3781.8436,489.7141,0,0,0,1,201.598,0,0,NA,1,8,7,16,12,6,171.9448,2,330.8904,NA,0,488.8988,NA,610.5443,63.8679,691.575,NA,413.4,373.85,12247.826,12250
"V330500",117,"V330500_L142_1_P.jpg","merged","L0142",TRUE,117.5,NA,448.6477,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79.2591,0,NA,NA,0,189.4756,588.6731,563.0497,135.8308,722.5206,0,355.8,431.45,14113.081,14250
"V330504",122,"V330504_L146_1_P.jpg","merged","L0146",TRUE,122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,686.1873,0,323.3,463.95,15165.526,15250
"V330510",127,"V330510_L152_1_C.jpg","merged","L0152",TRUE,127,2937.8824,354.8383,0,0,0,0,0,0,1,85.9069,0,7,8,17,13,4,131.2136,0,NA,NA,0,115.8016,355.2689,351.8707,126.0357,726.731,NA,326.8,460.45,15052.185,15250
"V330511",128,"V330511_L153_1_C.jpg","merged","L0153",TRUE,128,3165.4533,415.654,0,0,0,0,0,0,0,0,0,10,8,18,13,5,109.0367,0,NA,NA,0,164.0152,503.607,395.3859,78.5175,711.4049,NA,343.4,443.85,14514.629,14750
"V330516",131,"V330516_L158_1_C.jpg","merged","L0158",TRUE,131,NA,479.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72.308,0,NA,NA,0,NA,NA,NA,NA,711.3101,0,341.4,445.85,14579.395,14750
"V330518",132,"V330518_L160_1_P.jpg","merged","L0160",TRUE,132,3068.5866,362.1654,0,0,0,1,228.0351,1,0,128.0625,0,7,7,18,13,NA,NA,0,NA,NA,0,116.0172,324.5489,248.8453,NA,717.0077,NA,308.25,479,15652.888,15750
"V330521",133,"V330521_L163_1_C.jpg","merged","L0163",TRUE,133,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,189.5943,591.6164,520.0481,NA,702.1602,NA,326.5,460.75,15061.9,15250
"V330522",134,"V330522_L164_1_P.jpg","merged","L0164",TRUE,134.5,NA,426.1626,0,0,0,1,125.39935,0,0,0,1,0,0,0,0,4,NA,0,NA,NA,0,183.5211,NA,NA,NA,700.0357,0,325.7,461.55,15087.807,15250
"V330523",137,"V330523_L166_1_P.jpg","merged","L0166",TRUE,137,2125.586,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,94.255,239.8833,222.5039,57.7235,701.6438,0,325.9,461.35,15081.33,15250
"V330527",142,"V330527_L171_1_P.jpg","merged","L0171",TRUE,142,NA,NA,0,NA,1,0,NA,1,0,NA,1,8,7,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,712.4044,0,336.4,450.85,14741.31,14750
"V330528",143,"V330528_L172_2_C.jpg","merged","L0172",TRUE,143,NA,351.3761,0,0,0,1,121.3425,0,1,102.1763,0,0,0,0,13,5,106.066,0,NA,NA,0,161.5549,463.6432,330.4088,69.5845,696.6204,NA,NA,NA,NA,NA
"V330532",144,"V330532_L176_1_P.jpg","merged","L0176",TRUE,144,4750.4884,613.476,0,0,0,1,289.8068,1,1,163.878,0,8,8,15,11,6,186.8689,0,NA,NA,0,214.4108,675.4732,NA,231.6031,726.0992,NA,329.9,457.35,14951.798,15000
"V330537",156,"V330537_L181_1_P.jpg","merged","L0181",TRUE,156,NA,601.2616,0,0,0,0,0,0,1,139.3126,0,9,0,0,14,NA,NA,0,NA,NA,0,212.3017,535.8358,601.3319,216.1481,700.1828,NA,330.3,456.95,14938.845,15000
"V330539",159,"V330539_L184_1_C.jpg","merged","L0184",TRUE,159,NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,728,0,351.2,436.05,14262.043,14500
"V330545",164,"V330545_L190_1_P.jpg","merged","L0190",TRUE,164,NA,336.943,0,0,0,0,0,0,1,105.6788,0,0,0,0,0,NA,NA,0,NA,NA,0,110.0727,NA,NA,NA,698.9278,NA,330.3,456.95,14938.845,15000
