"fish_id","C_MDS1","P_MDS1","NA_MDS1","C_MDS2","P_MDS2","NA_MDS2","C_MDS3","P_MDS3","NA_MDS3","C_MPSP","P_MPSP","NA_MPSP","C_MDS1NA","P_MDS1NA","NA_MDS1NA","C_MDS2NA","P_MDS2NA","NA_MDS2NA","C_MDS3NA","P_MDS3NA","NA_MDS3NA","C_MPSPNA","P_MPSPNA","NA_MPSPNA","C_MDF","P_MDF","NA_MDF","C_MAF","P_MAF","NA_MAF","C_MCV","P_MCV","NA_MCV","C_MAV","P_MAV","NA_MAV","C_MPT","P_MPT","NA_MPT","C_SL","P_SL","NA_SL","C_CAV","P_CAV","NA_CAV","C_DS1","P_DS1","NA_DS1","C_DS2","P_DS2","NA_DS2","C_DS3","P_DS3","NA_DS3","C_LPT","P_LPT","NA_LPT","C_PSP.L","P_PSP.L","NA_PSP.L","C_PSP.R","P_PSP.R","NA_PSP.R","C_TPG","P_TPG","NA_TPG","C_ECT","P_ECT","NA_ECT","C_CLE","P_CLE","NA_CLE","C_PMX","P_PMX","NA_PMX","C_Scale_10mm","P_Scale_10mm","NA_Scale_10mm","C_row_count","P_row_count","NA_row_count","flag_SL","flag_CAV","flag_DS1","flag_DS2","flag_DS3","flag_LPT","flag_PSP.L","flag_PSP.R","flag_TPG","flag_ECT","flag_CLE","flag_PMX","total_flags","flagged_measurements"
"V330363_L2_1",0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,11,NA,0,9,NA,0,18,NA,0,11,NA,5,0,NA,NA,4858.5405,NA,567.1192,NA,NA,0,0,NA,0,0,NA,125.9365,0,NA,144.8862,NA,NA,0,0,NA,0,0,NA,NA,169.7528,NA,NA,467.2387,NA,NA,632.5219,NA,NA,127.2792,NA,692.4334,723.7928,NA,2,2,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330365_L4_1",0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,15,NA,0,9,NA,0,4,NA,2205.1,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,65.7647,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7694,NA,NA,692.0759,702.282,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330385_L25_1",0,0,NA,1,0,NA,0,0,NA,0,0,NA,1,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,13,NA,0,0,NA,NA,NA,NA,NA,456.8007,NA,NA,0,NA,196.8248,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,187.8404,NA,NA,421.0855,NA,NA,392.4296,NA,NA,NA,NA,700.1028,704.1023,NA,1,1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DS2, PSP.L, PSP.R"
"V330388_L28_1",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697.0796,701.5412,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330390_L30_1",0,0,NA,0,1,NA,0,1,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,7,NA,0,7,NA,16,0,NA,14,0,NA,5,0,NA,NA,4194.0043,NA,527.0319,NA,NA,0,0,NA,0,329.12,NA,0,210.2189,NA,55.1725,NA,NA,286.531,0,NA,274.4668,0,NA,644.6984,NA,NA,537.3863,NA,NA,432.1342,NA,NA,NA,123.3694,NA,690.8835,712.1798,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330391_L31_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,8,NA,NA,17,NA,NA,12,NA,NA,4,NA,NA,4748.5864,NA,NA,566.9275,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,130.0615,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,647.299,NA,NA,608.9105,NA,NA,102.489,NA,NA,689.362,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330392_L32_1",0,1,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,198.386,NA,0,135.5323,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,723.1494,NA,NA,631.3984,NA,NA,627.3731,NA,NA,161.5549,NA,692.4738,684.9599,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DS1, DS2, PSP.L, PSP.R"
"V330395_L35_1",NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,18,NA,NA,11,NA,NA,4,NA,NA,3080.1558,NA,NA,332.9897,NA,NA,NA,NA,NA,0,NA,NA,94.8683,NA,NA,218.0826,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,387.1034,NA,NA,303.0891,NA,NA,57.3487,NA,NA,694.1458,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V330397_L37_1",0,0,NA,0,0,NA,0,1,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,0,NA,NA,2979.8156,NA,332.7197,NA,NA,0,0,NA,0,0,NA,0,0,NA,63.3877,NA,NA,0,0,NA,0,0,NA,553.1094,NA,NA,448.2912,NA,NA,281.3254,NA,NA,NA,NA,NA,688.0465,694.4595,NA,4,3,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
"V330399_L39_1",0,0,NA,0,0,NA,0,0,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,7,0,NA,0,0,NA,18,0,NA,14,0,NA,4,0,NA,NA,3981.3043,NA,487.4651,NA,NA,0,0,NA,0,0,NA,0,0,NA,138.5208,NA,NA,0,0,NA,0,0,NA,NA,875.7168,NA,NA,NA,NA,NA,361.884,NA,NA,83.5225,NA,688.4185,702.0997,NA,5,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,"DS1, DS2, DS3, PSP.L, PSP.R"
