fish_id,part_row_id,measure,part_value,part_scale,cpart_row_id,cpart_value,cpart_scale,var_type,scale,absolute_diff,relative_diff,exceeds_threshold
V330363,3,MDS3,0,NA,1,1,NA,binary,NA,1,1,TRUE
V330363,4,MDS3,0,723.7928,1,1,NA,binary,723.7928,1,1,TRUE
V330363,4,DS3,0,723.7928,1,125.9365,NA,continuous,723.7928,125.9365,0.17399523731100944,TRUE
V330363,3,MPT,0,NA,1,5,NA,count,NA,5,1,TRUE
V330363,4,MDF,11,723.7928,1,0,NA,count,723.7928,11,1,TRUE
V330363,4,MDF,11,723.7928,2,0,692.4334,count,708.1131,11,1,TRUE
V330363,4,MAF,9,723.7928,1,0,NA,count,723.7928,9,1,TRUE
V330363,4,MAF,9,723.7928,2,0,692.4334,count,708.1131,9,1,TRUE
V330363,4,MCV,18,723.7928,1,0,NA,count,723.7928,18,1,TRUE
V330363,4,MCV,18,723.7928,2,0,692.4334,count,708.1131,18,1,TRUE
V330363,4,MAV,11,723.7928,1,0,NA,count,723.7928,11,1,TRUE
V330363,4,MAV,11,723.7928,2,0,692.4334,count,708.1131,11,1,TRUE
V330363,4,MPT,0,723.7928,1,5,NA,count,723.7928,5,1,TRUE
V330365,6,MDS3,1,702.282,5,0,692.0759,binary,697.17895,1,1,TRUE
V330365,6,DS3,65.7647,702.282,5,0,692.0759,continuous,697.17895,65.7647,0.09432972696608238,TRUE
V330365,6,MCV,15,702.282,5,0,692.0759,count,697.17895,15,1,TRUE
V330365,6,MAV,9,702.282,5,0,692.0759,count,697.17895,9,1,TRUE
V330365,6,MPT,4,702.282,5,0,692.0759,count,697.17895,4,1,TRUE
V330385,8,MDS2,0,704.1023,7,1,700.1028,binary,702.1025500000001,1,1,TRUE
V330385,8,MDS1NA,0,704.1023,7,1,700.1028,binary,702.1025500000001,1,1,TRUE
V330385,8,MDS3NA,0,704.1023,7,1,700.1028,binary,702.1025500000001,1,1,TRUE
V330385,8,DS2,0,704.1023,7,196.8248,700.1028,continuous,702.1025500000001,196.8248,0.28033625572218757,TRUE
V330385,8,MAV,13,704.1023,7,0,700.1028,count,702.1025500000001,13,1,TRUE
V330390,12,MDS2,1,712.1798,11,0,690.8835,binary,701.53165,1,1,TRUE
V330390,12,MDS3,1,712.1798,11,0,690.8835,binary,701.53165,1,1,TRUE
V330390,12,DS2,329.12,712.1798,11,0,690.8835,continuous,701.53165,329.12,0.4691449060067354,TRUE
V330390,12,DS3,210.2189,712.1798,11,0,690.8835,continuous,701.53165,210.2189,0.2996570432709629,TRUE
V330390,12,MDF,7,712.1798,11,0,690.8835,count,701.53165,7,1,TRUE
V330390,12,MAF,7,712.1798,11,0,690.8835,count,701.53165,7,1,TRUE
V330390,12,MCV,0,712.1798,11,16,690.8835,count,701.53165,16,1,TRUE
V330390,12,MAV,0,712.1798,11,14,690.8835,count,701.53165,14,1,TRUE
V330390,12,MPSP,0,712.1798,11,2,690.8835,count,701.53165,2,1,TRUE
V330392,15,MDS1,1,684.9599,14,0,692.4738,binary,688.71685,1,1,TRUE
V330392,15,MDS2,1,684.9599,14,0,692.4738,binary,688.71685,1,1,TRUE
V330392,15,MDS3NA,1,684.9599,14,0,692.4738,binary,688.71685,1,1,TRUE
V330392,15,DS1,198.386,684.9599,14,0,692.4738,continuous,688.71685,198.386,0.2880516136638736,TRUE
V330392,15,DS2,135.5323,684.9599,14,0,692.4738,continuous,688.71685,135.5323,0.19678958050757722,TRUE
V330397,22,MDS3,1,NA,17,0,NA,binary,NA,1,1,TRUE
V330397,22,MDS3,1,NA,18,0,NA,binary,NA,1,1,TRUE
V330397,22,MDS3,1,NA,19,0,NA,binary,NA,1,1,TRUE
V330397,22,MDS3,1,NA,20,0,688.0465,binary,688.0465,1,1,TRUE
V330397,22,DS3,99.7246,NA,20,0,688.0465,continuous,688.0465,99.7246,0.14493875050596142,TRUE
V330397,21,MPT,0,NA,18,5,NA,count,NA,5,1,TRUE
V330397,21,MPSP,0,NA,18,2,NA,count,NA,2,1,TRUE
V330397,22,MPSP,0,NA,18,2,NA,count,NA,2,1,TRUE
V330397,23,MPT,0,694.4595,18,5,NA,count,694.4595,5,1,TRUE
V330397,23,MPSP,0,694.4595,18,2,NA,count,694.4595,2,1,TRUE
V330399,29,MDF,0,702.0997,26,7,NA,count,702.0997,7,1,TRUE
V330399,29,MCV,0,702.0997,27,18,NA,count,702.0997,18,1,TRUE
V330399,29,MAV,0,702.0997,27,14,NA,count,702.0997,14,1,TRUE
V330399,29,MPT,0,702.0997,28,4,NA,count,702.0997,4,1,TRUE
V330399,29,MPSP,0,702.0997,28,2,NA,count,702.0997,2,1,TRUE
V330400,32,MDS3,0,692.0116,31,1,693.1234,binary,692.5675,1,1,TRUE
V330400,33,MDS3,0,NA,31,1,693.1234,binary,693.1234,1,1,TRUE
V330400,32,DS3,0,692.0116,31,141.1524,693.1234,continuous,692.5675,141.1524,0.20381031451807946,TRUE
V330400,33,DS3,0,NA,31,141.1524,693.1234,continuous,693.1234,141.1524,0.20364685422538037,TRUE
V330400,32,MDF,0,692.0116,31,8,693.1234,count,692.5675,8,1,TRUE
V330400,32,MAF,0,692.0116,31,7,693.1234,count,692.5675,7,1,TRUE
V330400,32,MCV,0,692.0116,31,14,693.1234,count,692.5675,14,1,TRUE
V330400,32,MAV,0,692.0116,31,12,693.1234,count,692.5675,12,1,TRUE
V330400,32,MPT,0,692.0116,31,5,693.1234,count,692.5675,5,1,TRUE
V330400,32,MPSP,0,692.0116,31,2,693.1234,count,692.5675,2,1,TRUE
V330400,33,MDF,0,NA,31,8,693.1234,count,693.1234,8,1,TRUE
V330400,33,MAF,0,NA,31,7,693.1234,count,693.1234,7,1,TRUE
V330400,33,MCV,0,NA,31,14,693.1234,count,693.1234,14,1,TRUE
V330400,33,MAV,0,NA,31,12,693.1234,count,693.1234,12,1,TRUE
V330400,33,MPT,0,NA,31,5,693.1234,count,693.1234,5,1,TRUE
V330400,33,MPSP,0,NA,31,2,693.1234,count,693.1234,2,1,TRUE
V330405,42,MDS2,0,700.7326,36,1,NA,binary,700.7326,1,1,TRUE
V330405,42,MDS3,0,700.7326,37,1,NA,binary,700.7326,1,1,TRUE
V330405,42,DS2,0,700.7326,36,231.3871,NA,continuous,700.7326,231.3871,0.33020741435463397,TRUE
V330405,42,DS3,0,700.7326,37,110.4355,NA,continuous,700.7326,110.4355,0.15760006027977005,TRUE
V330405,42,MDF,0,700.7326,38,8,NA,count,700.7326,8,1,TRUE
V330405,42,MAF,0,700.7326,38,8,NA,count,700.7326,8,1,TRUE
V330405,42,MCV,0,700.7326,39,14,NA,count,700.7326,14,1,TRUE
V330405,42,MAV,0,700.7326,39,12,NA,count,700.7326,12,1,TRUE
V330405,42,MPT,0,700.7326,39,5,NA,count,700.7326,5,1,TRUE
V330405,42,MPSP,2,700.7326,36,0,NA,count,700.7326,2,1,TRUE
V330405,42,MPSP,2,700.7326,37,0,NA,count,700.7326,2,1,TRUE
V330405,42,MPSP,2,700.7326,38,0,NA,count,700.7326,2,1,TRUE
V330405,42,MPSP,2,700.7326,39,0,NA,count,700.7326,2,1,TRUE
V330405,42,MPSP,2,700.7326,41,0,695.9454,count,698.3389999999999,2,1,TRUE
V330407,45,MDS2,0,686.743,43,1,NA,binary,686.743,1,1,TRUE
V330407,45,MDS3NA,0,686.743,44,1,686.1953,binary,686.46915,1,1,TRUE
V330407,45,DS2,0,686.743,43,270.7028,NA,continuous,686.743,270.7028,0.3941835592062824,TRUE
V330407,45,MPSP,0,686.743,44,2,686.1953,count,686.46915,2,1,TRUE
V330411,47,MDS2,0,695.8448,46,1,NA,binary,695.8448,1,1,TRUE
V330411,47,MDS3,0,695.8448,46,1,NA,binary,695.8448,1,1,TRUE
V330411,47,MDS1NA,0,695.8448,46,1,NA,binary,695.8448,1,1,TRUE
V330411,47,DS2,0,695.8448,46,400.4997,NA,continuous,695.8448,400.4997,0.5755589464777203,TRUE
V330411,47,DS3,0,695.8448,46,172.0465,NA,continuous,695.8448,172.0465,0.24724838067339155,TRUE
V330411,47,MPSP,0,695.8448,46,2,NA,count,695.8448,2,1,TRUE
V330424,51,MDS1,0,709.129,48,1,NA,binary,709.129,1,1,TRUE
V330424,51,MDS2,0,709.129,48,1,NA,binary,709.129,1,1,TRUE
V330424,51,MDS3,0,709.129,48,1,NA,binary,709.129,1,1,TRUE
V330424,51,DS2,0,709.129,48,281.3965,NA,continuous,709.129,281.3965,0.39681990159759367,TRUE
V330424,51,DS1,0,709.129,48,266.3682,NA,continuous,709.129,266.3682,0.37562728361130343,TRUE
V330424,51,DS3,0,709.129,48,186.6869,NA,continuous,709.129,186.6869,0.26326225552755567,TRUE
V330424,51,MDF,0,709.129,49,8,NA,count,709.129,8,1,TRUE
