"fish_id","ID","part_type","Scale_10mm"
"V330535_L179_2","V330535_L179_2_P.jpg","P",NA
"V330566_L215_1","V330566_L215_1_P.jpg","P",NA
"V330657_L311_1","V330657_L311_1_P.jpg","P",NA
"V330657_L311_1","V330657_L311_1_P.jpg","P",NA
"V330657_L311_1","V330657_L311_1_P.jpg","P",NA
"V330715_L371D_1","V330715_L371D_1_P.jpg","P",NA
"V330771_L429_1","V330771_L429_1_P.jpg","P",NA
"V330843_L510_1","V330843_L510_1_C.jpg","C",NA
"V330879_L547_1","V330879_L547_1_P.jpg","P",NA
"V331354_L1044_2","V331354_L1044_2_P.jpg","P",NA
"V331472_L1183_1_P2.jpg","V331472_L1183_1_P2.jpg",NA,719.7388
"V331473_L1184_1_P2.jpg","V331473_L1184_1_P2.jpg",NA,690.4564
"V331474_L1185_1_P2.jpg","V331474_L1185_1_P2.jpg",NA,689.1618
"V331475_L1186_1_P2.jpg","V331475_L1186_1_P2.jpg",NA,702.0541
"V331476_L1187_1_P2.jpg","V331476_L1187_1_P2.jpg",NA,NA
"V331476_L1187_1_P2.jpg","V331476_L1187_1_P2.jpg",NA,688.6189
"V331477_L1188_1_P2.jpg","V331477_L1188_1_P2.jpg",NA,697.4984
"V331478_L1189_1_P2.jpg","V331478_L1189_1_P2.jpg",NA,688.8382
"V331479_L1190_1_P2.jpg","V331479_L1190_1_P2.jpg",NA,695.6321
"V331481_L1193_1_P2.jpg","V331481_L1193_1_P2.jpg",NA,694.6603
"V331482_L1194_1_P2.jpg","V331482_L1194_1_P2.jpg",NA,NA
"V331482_L1194_1_P2.jpg","V331482_L1194_1_P2.jpg",NA,692.8665
"V331483_L1195_1_P2.jpg","V331483_L1195_1_P2.jpg",NA,685.4787
"V331484_L1196_1_P2.jpg","V331484_L1196_1_P2.jpg",NA,702.0484
"V331523_L1238_1","V331523_L1238_1_P.jpg","P",NA
"V331667_L1388B_1","V331667_L1388B_1_P.jpg","P",NA
"V331667_L1388B_1","V331667_L1388B_1_P.jpg","P",NA
"V332379_L2121_1","V332379_L2121_1_P.jpg","P",NA
