"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","fish_id","bin","part_type"
153,"V330535_L179_2_P.jpg",1931.434,219.3416,0,NA,0,0,NA,0,1,101.2371,0,0,0,18,13,4,71.6781,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330535","L0179","P"
196,"V330566_L215_1_P.jpg",NA,312.5088,0,NA,1,0,NA,1,1,110.0727,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330566","L0215","P"
334,"V330657_L311_1_P.jpg",4117.4168,486.8988,0,NA,0,1,352.5677,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330657","L0311","P"
335,"V330657_L311_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,152.2104,0,9,7,17,9,4,140.9113,0,NA,NA,0,149.9333,460.5388,NA,NA,NA,0,"V330657","L0311","P"
336,"V330657_L311_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,624.2564,131.9394,NA,0,"V330657","L0311","P"
418,"V330715_L371D_1_P.jpg",2527.6582,373.1804,0,NA,0,0,NA,0,1,95.0789,0,8,7,0,0,5,73.5391,0,NA,NA,0,NA,384.1875,287.4717,106.2826,NA,0,"V330715","L0371D","P"
502,"V330771_L429_1_P.jpg",7099.6475,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330771","L0429","P"
587,"V330843_L510_1_C.jpg",3271.0856,388.5937,1,185.9516,0,1,301.2723,0,1,209.6139,0,8,0,17,12,4,132.1363,2,333.054,390.1038,1,456.0888,275.0364,81.8841,701.0827,NA,NA,"V330843","L0510","C"
633,"V330879_L547_1_P.jpg",3465.5447,420.0353,0,NA,0,1,244,0,1,110.0545,0,9,9,17,13,5,136.9379,2,102.874,114.2781,1,493.6376,286.6047,115.7774,695.0044,NA,NA,"V330879","L0547","P"
1196,"V331354_L1044_2_P.jpg",553.7763,NA,0,NA,0,0,NA,0,1,94.1541,0,8,8,16,0,0,NA,0,NA,NA,0,NA,495.0364,604.6693,178.3928,NA,0,"V331354","L1044","P"
1382,"V331523_L1238_1_P.jpg",4043.5707,507.6595,0,NA,0,0,NA,0,1,125.5388,0,8,6,14,12,4,112.9248,0,NA,NA,0,NA,499.6799,560.1286,245.5687,NA,0,"V331523","L1238","P"
2256,"V332379_L2121_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,288.3609,715.5418,609.0649,220.6173,NA,NA,"V332379","L2121","P"
