"X","n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","fish_id","bin","part_type","CSTRAT","ISTRAT","YEAR","INT"
1,1,"V330363_L2_1_C.jpg",NA,567.1192,0,0,0,0,0,0,1,125.9365,0,0,0,0,0,5,144.8862,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330363","L0002","C",119.85,667.4,21753.827,22000
2,2,"V330363_L2_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.4334,0,"V330363","L0002","C",119.85,667.4,21753.827,22000
3,3,"V330363_L2_1_P.jpg",4858.5405,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V330363","L0002","P",119.85,667.4,21753.827,22000
4,4,"V330363_L2_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,11,9,18,11,0,NA,0,NA,NA,0,169.7528,467.2387,632.5219,127.2792,723.7928,0,"V330363","L0002","P",119.85,667.4,21753.827,22000
5,5,"V330365_L4_1_C.jpg",2205.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,75.7694,692.0759,0,"V330365","L0004","C",139.55,647.7,21115.884,21250
6,6,"V330365_L4_1_P.jpg",NA,NA,0,0,0,0,0,0,1,65.7647,0,0,0,15,9,4,NA,0,NA,NA,0,NA,NA,NA,NA,702.282,0,"V330365","L0004","P",139.55,647.7,21115.884,21250
7,7,"V330385_L25_1_C.jpg",NA,NA,0,NA,1,1,196.8248,0,0,NA,1,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,700.1028,0,"V330385","L0025","C",411.8,375.45,12299.639,12500
8,8,"V330385_L25_1_P.jpg",NA,456.8007,0,0,0,0,0,0,0,0,0,0,0,0,13,0,NA,0,NA,NA,0,187.8404,421.0855,392.4296,NA,704.1023,NA,"V330385","L0025","P",411.8,375.45,12299.639,12500
11,11,"V330390_L30_1_C.jpg",NA,527.0319,0,0,0,0,0,0,0,0,0,0,0,16,14,5,55.1725,2,286.531,274.4668,0,644.6984,537.3863,432.1342,NA,690.8835,NA,"V330390","L0030","C",458.45,328.8,10788.976,11000
12,12,"V330390_L30_1_P.jpg",4194.0043,NA,0,0,0,1,329.12,0,1,210.2189,0,7,7,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,123.3694,712.1798,0,"V330390","L0030","P",458.45,328.8,10788.976,11000
