"fish_id","P_SL","P_CAV","P_MDS1","P_DS1","P_MDS1NA","P_MDS2","P_DS2","P_MDS2NA","P_MDS3","P_DS3","P_MDS3NA","P_MDF","P_MAF","P_MCV","P_MAV","P_MPT","P_LPT","P_MPSP","P_PSP.L","P_PSP.R","P_MPSPNA","P_TPG","P_ECT","P_CLE","P_PMX","P_Scale_10mm","C_SL","C_CAV","C_MDS1","C_DS1","C_MDS1NA","C_MDS2","C_DS2","C_MDS2NA","C_MDS3","C_DS3","C_MDS3NA","C_MDF","C_MAF","C_MCV","C_MAV","C_MPT","C_LPT","C_MPSP","C_PSP.L","C_PSP.R","C_MPSPNA","C_TPG","C_ECT","C_CLE","C_PMX","C_Scale_10mm","flag_SL","flag_CAV","flag_MDS1","flag_DS1","flag_MDS1NA","flag_MDS2","flag_DS2","flag_MDS2NA","flag_MDS3","flag_DS3","flag_MDS3NA","flag_MDF","flag_MAF","flag_MCV","flag_MAV","flag_MPT","flag_LPT","flag_MPSP","flag_PSP.L","flag_PSP.R","flag_MPSPNA","flag_TPG","flag_ECT","flag_CLE","flag_PMX","flag_Scale_10mm","keep_SL","keep_CAV","keep_MDS1","keep_DS1","keep_MDS1NA","keep_MDS2","keep_DS2","keep_MDS2NA","keep_MDS3","keep_DS3","keep_MDS3NA","keep_MDF","keep_MAF","keep_MCV","keep_MAV","keep_MPT","keep_LPT","keep_MPSP","keep_PSP.L","keep_PSP.R","keep_MPSPNA","keep_TPG","keep_ECT","keep_CLE","keep_PMX","keep_Scale_10mm"
"V330363_L2_1",4858.5405,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,169.7528,467.2387,632.5219,127.2792,723.7928,NA,567.1192,0,NA,0,0,NA,0,1,125.9365,0,0,0,0,0,5,144.8862,0,NA,NA,0,NA,NA,NA,NA,692.4334,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330365_L4_1",NA,NA,0,NA,0,0,NA,0,1,65.7647,0,0,0,15,9,4,NA,0,NA,NA,0,NA,NA,NA,NA,702.282,2205.1,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,75.7694,692.0759,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330385_L25_1",NA,456.8007,0,NA,0,0,NA,0,0,NA,0,0,0,0,13,0,NA,0,NA,NA,0,187.8404,421.0855,392.4296,NA,704.1023,NA,NA,0,NA,1,1,196.8248,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.1028,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330388_L28_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.5412,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.0796,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330390_L30_1",4194.0043,NA,0,NA,0,1,329.12,0,1,210.2189,0,7,7,0,0,0,NA,0,NA,NA,0,NA,NA,NA,123.3694,712.1798,NA,527.0319,0,NA,0,0,NA,0,0,NA,0,0,0,16,14,5,55.1725,2,286.531,274.4668,0,644.6984,537.3863,432.1342,NA,690.8835,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330392_L32_1",NA,NA,1,198.386,0,1,135.5323,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,723.1494,631.3984,627.3731,161.5549,684.9599,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.4738,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330397_L37_1",2979.8156,NA,0,NA,0,0,NA,0,0,99.7246,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,694.4595,NA,332.7197,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,63.3877,0,314.6824,255.1235,0,553.1094,448.2912,281.3254,NA,688.0465,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330399_L39_1",3981.3043,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,875.7168,NA,361.884,83.5225,702.0997,NA,487.4651,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,138.5208,0,401.1384,363.8296,0,NA,NA,NA,NA,688.4185,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330400_L40_1",3601.3975,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.0116,3580.2145,422.7414,0,NA,0,0,NA,0,0,141.1524,0,0,0,0,0,0,88.4081,0,363.4776,316.4806,0,565.2787,578.1661,495.7177,78.5875,693.1234,"FLAG",NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330405_L45_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,264.1969,0,NA,NA,NA,NA,700.7326,4144.4853,501.3472,0,NA,0,1,231.3871,0,0,110.4355,0,0,0,0,0,0,145.1206,0,NA,NA,0,657.3462,551.6013,454.3831,100.3195,695.9454,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
