"fish_id","total_flags","flagged_measurements","C_SL","P_SL","C_CAV","P_CAV","C_DS1","P_DS1","C_DS2","P_DS2","C_DS3","P_DS3","C_LPT","P_LPT","C_PSP.L","P_PSP.L","C_PSP.R","P_PSP.R","C_TPG","P_TPG","C_ECT","P_ECT","C_CLE","P_CLE","C_PMX","P_PMX"
"V330876_L544_1",12,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",3387.6977,3385.9309,391.2905,363.8669,0,0,0,0,101.1929,107.7033,84.0952,78.5875,0,0,0,0,164.9242,167.0449,472.3558,396.1818,382.8316,354.1073,121.4578,138.1014
"V331095_L770_1",12,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",2630.9247,2669.6983,310.0631,392.6772,0,0,0,0,92.4175,106.7333,92.4175,92,213.0845,0,211.154,0,393.5492,450.6395,314.0844,354.683,266.4432,268.4772,74.2159,70.9366
"V331155_L831_1",12,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",2576.1617,2592.7221,313.1975,323.4923,0,0,0,0,0,0,206.0413,55.3173,0,0,0,0,144.3122,104.0096,462.8661,361.2603,240.7862,390.0462,57.7062,80.7775
"V330677_L332_1",11,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",3170.1655,NA,439.8412,485.5141,0,0,0,0,102.528,109.4166,87.0517,78.2304,0,0,0,0,207.1956,164.1585,386.9884,482.5971,282,367.2274,139.9428,160.9969
"V330719_L374_1",11,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",3284.1924,NA,401.4331,390.9924,0,0,294.7032,107.0794,115.8016,238.665,77.8845,132.1363,0,0,0,0,171.84,194.3296,442.5076,335.0478,297.0606,362.4914,127.4559,143.6558
"V331152_L828_1",11,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE, PMX",4535.7813,4606.5171,510.9983,575.9275,0,0,0,0,0,0,157.2768,148.4318,0,0,0,0,NA,168.7602,732,690.9703,503.5077,527.0598,101.9804,98.7927
"V330558_L204_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, CLE, PMX",NA,4297.4077,499.7226,520.7138,0,0,0,0,126.4911,117.6435,172.0465,156.205,0,0,0,0,184.3909,180.0444,NA,400.4997,461.5106,539.2291,118.1863,124.0645
"V330639_L293_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE, PMX",3167.8139,NA,356.1524,321.1013,0,0,0,0,127.6323,114.0395,87.2067,89.8999,0,0,0,0,118.072,NA,576.6325,343.4705,358.9234,346.3019,88.2326,119.7748
"V330712_L371A_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE, PMX",NA,3391.2117,421.8138,433.3417,0,0,0,0,133.9627,152.7645,112.0893,139.5887,0,0,0,0,NA,NA,300.9585,332.662,258.9401,356.4828,153.2645,168.2409
"V330757_L414_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, PMX",NA,NA,613.4013,528.5904,0,0,0,0,115.7627,127.3146,118.1863,134.1641,0,0,0,0,240.8423,150.03,313.0511,532.6162,384.796,NA,126.0357,170.8157
"V330991_L663_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",NA,NA,398.808,398.4256,0,0,0,0,61.5549,89.1964,67.082,100.8464,0,0,0,0,303.0594,159.424,207.9543,439.6101,412.7045,415.3131,NA,NA
"V331017_L691_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",NA,3993.058,542.6189,519.3756,0,0,0,0,156.4609,147.5669,152.8398,180.3996,0,0,0,0,311.7178,213.9533,532.8865,578.937,535.0589,558.6842,NA,NA
"V331058_L732_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE",NA,NA,2944.6222,366.7939,0,0,296.4321,295.8462,145.6022,153.2351,144.0555,108.1665,0,0,0,0,124.0645,132.8495,343.9535,402.1791,387.319,387.8247,108,NA
"V331385_L1084_1",10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE, PMX",3532.5404,NA,490.3604,510.1648,229.4559,225.0778,316.7665,0,123.6932,0,114.6298,140,378.8681,0,354.1144,0,718.0599,NA,548.467,335.0104,429.5346,363.8901,140.5205,119.2812
"V331391_L1090_1",10,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX",NA,NA,NA,361.8823,0,0,249.4474,230.9026,99.4585,101.5135,132.7403,138.0326,0,0,0,0,128.8255,160.8011,372.65,304.777,315.4172,334.389,132.8157,132.6122
