"","Actinocyclus_spp","Alveophora_americana","Amphora_coffeaeformis","Amphora_spp","Anomoeneis_sculpta","Aulocoseira_ambigua","Aulocoseira_canadensis","Aulocoseira_pusilla","Aulocoseira_spp","Aulocoseira_subarctica","Aulocoseira_tenella","Chaetoceros_spp","Cocconeis_spp","Craticula_spp","Cyclostephanos_tholiformis","Cyclotella_spp","Cymbella_cymbiformis","Cymbella_spp","Encyonema_spp","Epithemia_musculus","Eunotia_spp","Fragilaria_vaucheriae","Geissleria_spp","Lindavia_rossii","Navicula_spp","Nitzschia_fonticola","Planothidium_apiculatum","Planothidium_delicatulum","Pliocaenicus_spp","Pseudostaurosira_brevistriata","Punctastriata_mimetica","Semiorbis_spp","Staurosira_construens_var_binodis","Staurosira_construens_var_construens","Staurosira_construens_var_venter","Staurosirella_leptostauron_var_leptostauron","Staurosirella_pinnata","Staurosirella_spp","Stephanodiscus_spp","Surirella_amphioxys","Tetracyclus_spp","Unknown_spp","Amphora_copulata","Aulacoseira_ambigua","Aulacoseira_granulata","Aulacoseira_iirata","Aulacoseira_islandica","Aulacoseira_nivaloides","Aulacoseira_pusilla","Aulacoseira_spp","Aulacoseira_subarctica","Aulacoseira_tenella","Caponea_spp","Cocconeis_klamathensis","Cyclostephanos_spp","Epithemia_gibberula","Fragilariforma_nitzschioides","Licomphora_spp","Melosira_spp","Pseudostaurosira_neoelliptica","Pseudostaurosiropsis_spp","Rhopalodia_spp","Surirella_spp","Tetracyclus_emarginatus","Tetracyclus_glans","spp_spp","Epithemia_Rhopalodia","Aneumastus_psuedotusculus","Licmophora_spp","Entomoneis_punctulata","Epithemia_spp","Tetracyclus_rupestris","Aneumastus_spp","Aulacoseira_nygaardii","Caponea_caribbea","Diploneis_spp","Gomphoneis_minuata"
"V330400_L0040",0.444444444444444,0,0,0,0,0,0,0.444444444444444,5.33333333333333,0,6,0,0,0,2.88888888888889,0.666666666666667,0.444444444444444,5.55555555555556,0.222222222222222,0,0,0,0,0.222222222222222,0,0.222222222222222,0.222222222222222,0.222222222222222,4.22222222222222,0,0.222222222222222,0,0,0,0.222222222222222,0,0.666666666666667,0,0,0,0.222222222222222,71.5555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330455_L0095",0,0,0,0,0,0,0,0.353356890459364,2.82685512367491,0.706713780918728,7.42049469964664,0,0,0,3.18021201413428,0.353356890459364,0,0.353356890459364,0,0.353356890459364,0,0,0,0,0.706713780918728,0.706713780918728,0,1.06007067137809,1.41342756183746,0,0.353356890459364,0,0,0,0,0,0.353356890459364,0.353356890459364,0,0.706713780918728,0,78.7985865724382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330470_L110",0.070871722182849,0.283486888731396,0,0.566973777462792,1.55917788802268,0,0,0,0,0,0,0,0,0.496102055279943,1.13394755492558,1.13394755492558,0,0.70871722182849,0,0.496102055279943,0,0,0.212615166548547,0,2.33876683203402,0,0,0,0.283486888731396,0,0.637845499645641,0,0,0,0,0.141743444365698,0,0,0.141743444365698,0,0.070871722182849,80.297661233168,0.496102055279943,0,0.212615166548547,0.070871722182849,0,0.496102055279943,0,3.4727143869596,0.77958894401134,1.77179305457123,0,0,0.070871722182849,0.566973777462792,0,0,0.070871722182849,0,0,0.212615166548547,0.70871722182849,0,0.496102055279943,0,0,0,0,0,0,0,0,0,0,0,0
"V330499_L0141",0,0,0,0,0,0,0,0.911854103343465,4.86322188449848,0.911854103343465,2.12765957446809,0,0,0,1.21580547112462,0.303951367781155,0,3.03951367781155,0,0,0,0,0,0,0,0,0,0,1.21580547112462,0,0.60790273556231,0,0,0,0,0,1.21580547112462,0,0,0.303951367781155,0,83.2826747720365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330519_L0161",0,0,0,0,0,0,0,0.587371512481645,9.10425844346549,0,6.75477239353891,0,0,0,3.67107195301028,1.61527165932452,0,0.146842878120411,0,0,0.146842878120411,0,0,0,0,0,0,0.146842878120411,1.17474302496329,0,0,0,0,0,0,0,0.881057268722467,0,0,0.146842878120411,0.440528634361234,75.1835535976505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330606_L0257",0.168350168350168,0,0,0,0.168350168350168,0,0,0.168350168350168,5.05050505050505,0,3.03030303030303,0,0,0,1.51515151515152,0,0,0.336700336700337,0,0,0.168350168350168,0,0.168350168350168,0,0,0,0,0,0.841750841750842,0,0,0,0,0.336700336700337,0,0,1.17845117845118,0,0,2.18855218855219,0,84.6801346801347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330611_L0262",0,0,0,0,0,0,0,0,1.58730158730159,0,1.05820105820106,0,0,0,0,0,0,5.29100529100529,0,0,0,0,0,0,0,0,0,0,1.05820105820106,0,0,0,0,0,0,0,0,0,0,0,0,91.005291005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330632_L0286",0,0,0,0,0,0,0,0.137362637362637,6.45604395604396,0,1.64835164835165,0,0,0,0.412087912087912,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,1.37362637362637,0,0,0,0,0,0,0,0.137362637362637,0,0,0.137362637362637,0,87.2252747252747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686813186813187,0,0,0,0,0,0,0,0,0,0
"V330640_L0294",0,0,0,0,0,0,0,0.237529691211401,5.70071258907363,0,0.950118764845606,0,0,0,1.66270783847981,0,0,4.27553444180523,0,0,0,0,0,0,0,0,0,0,0.475059382422803,0,0,0,0,0,0,0,0,0,0,0,0.237529691211401,86.4608076009501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V330641_L0295",0,0,0,0,0,0,0,0.214592274678112,6.00858369098712,0.214592274678112,1.28755364806867,0,0,0,1.07296137339056,0,0,3.21888412017167,0,0,1.07296137339056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549356223,0,0,0.429184549356223,0,85.8369098712446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214592274678112,0,0,0,0,0,0,0,0,0,0
