fish_id,continuous_diffs,count_diffs,binary_diffs,total_diffs,max_relative_diff
V330363,1,1,0,2,0.08892400098232894
V330365,1,1,0,2,0.09432972696608238
V330385,1,1,0,2,0.28033625572218757
V330390,1,1,0,2,0.4691449060067354
V330400,1,1,0,2,1
V330405,1,1,0,2,0.05522320343939931
V330407,1,1,0,2,0.19717040452582613
V330411,1,1,0,2,0.5755589464777203
V330424,1,1,0,2,0.1329264524001648
V330450,1,1,0,2,0.4358845790363552
V330455,1,1,0,2,0.1238302270442798
V330468,1,1,0,2,0.0840917405698195
V330473,1,1,0,2,0.08770975576908907
V330474,1,1,0,2,0.39321263524737515
V330483,1,1,0,2,0.3524002703746928
V330484,1,1,0,2,0.09932592444518881
V330490,1,1,0,2,0.05012067826820851
V330492,1,1,0,2,0.05095497757385981
V330493,1,1,0,2,0.09686191398164189
V330494,1,1,0,2,0.1578586567324419
V330495,1,1,0,2,0.17856510765527156
V330496,1,1,0,2,0.2603784182724492
V330502,1,1,0,2,0.12756330256028092
V330509,1,1,0,2,0.1735157802616083
V330513,1,1,0,2,0.12414791158979387
V330525,1,1,0,2,0.2341976325920605
V330526,1,1,0,2,0.18143631693658374
V330534,1,1,0,2,0.13413059195894808
V330536,1,1,0,2,0.11234725094919022
V330538,1,1,0,2,0.3888539429521566
V330541,1,1,0,2,0.518884014999539
V330542,1,1,0,2,0.142959051282536
V330548,1,1,0,2,0.16988637419469194
V330549,1,1,0,2,0.35668142432825223
V330557,1,1,0,2,0.2614630410113864
V330558,1,1,0,2,0.10920863523668042
V330559,1,1,0,2,0.28093896791633427
V330562,1,1,0,2,0.1325813890067335
V330568,1,1,0,2,0.3494794437483609
V330569,1,1,0,2,0.36342653294810023
V330570,1,1,0,2,0.15192290550210086
V330571,1,1,0,2,0.25058977155320855
V330578,1,1,0,2,0.0970202749237316
V330579,1,1,0,2,0.1821033493359841
V330583,1,1,0,2,0.06335015296433864
V330585,1,1,0,2,0.18188550739226508
V330588,1,1,0,2,0.0640398446299353
V330591,1,1,0,2,0.31552031862016333
V330592,1,1,0,2,0.15378394155019603
V330595,1,1,0,2,0.13922814354097757
V330601,1,1,0,2,0.10259028105974256
V330603,1,1,0,2,0.14903210625611893
V330605,1,1,0,2,0.1989208978667626
V330610,1,1,0,2,0.37118571618004975
V330614,1,1,0,2,0.22957563881796408
V330615,1,1,0,2,0.11429190462867987
V330618,1,1,0,2,0.4946104192317059
V330637,1,1,0,2,0.07402223501044454
V330639,1,1,0,2,0.3499191055378396
V330644,1,1,0,2,0.18498773055864645
V330649,1,1,0,2,0.21211346906659703
V330651,1,1,0,2,0.1310282334936641
V330661,1,1,0,2,0.30617222400430216
V330666,1,1,0,2,0.17230035954083378
V330671,1,1,0,2,0.10238554118492048
V330676,1,1,0,2,0.2717258113686745
V330677,1,1,0,2,0.13430007477838818
V330683,1,1,0,2,0.24456140008413454
V330695,1,1,0,2,0.6031634218519738
V330697,1,1,0,2,0.10122840678446292
V330698,1,1,0,2,0.16069579650156995
V330702,1,1,0,2,0.21868681695259315
V330703,1,1,0,2,0.1899953490600395
V330704,1,1,0,2,0.18687158935313905
V330709,1,1,0,2,0.08203286895855164
V330712,1,1,0,2,0.13614734883617063
V330719,1,1,0,2,0.27549208229590283
V330721,1,1,0,2,0.4001501534606489
V330724,1,1,0,2,0.15436318541002048
V330734,1,1,0,2,0.1283558766095733
V330735,1,1,0,2,0.12276452328091773
V330740,1,1,0,2,0.22590852154825852
V330742,1,1,0,2,0.426323163723626
V330745,1,1,0,2,0.08930832045432929
V330749,1,1,0,2,0.5732017552982202
V330752,1,1,0,2,0.1763178707886097
V330753,1,1,0,2,0.14651031035954812
V330755,1,1,0,2,0.4763521105662678
V330757,1,1,0,2,0.317949663290497
V330766,1,1,0,2,0.16911749638259865
V330770,1,1,0,2,0.16434601716551342
V330776,1,1,0,2,0.23985618547211887
V330780,1,1,0,2,0.4049820151277384
V330786,1,1,0,2,0.18780264460210552
V330797,1,1,0,2,0.2918358184907222
V330812,1,1,0,2,0.20924950278660712
V330816,1,1,0,2,0.1023879876692201
V330828,1,1,0,2,0.2588072454622532
V330836,1,1,0,2,0.34297006707727706
V330840,1,1,0,2,0.14464941150161123
