"fish_id","ID","part_type","Scale_10mm"
"V330535","V330535_L179_2_P.jpg","P",NA
"V330566","V330566_L215_1_P.jpg","P",NA
"V330657","V330657_L311_1_P.jpg","P",NA
"V330657","V330657_L311_1_P.jpg","P",NA
"V330657","V330657_L311_1_P.jpg","P",NA
"V330715","V330715_L371D_1_P.jpg","P",NA
"V330771","V330771_L429_1_P.jpg","P",NA
"V330843","V330843_L510_1_C.jpg","C",NA
"V330879","V330879_L547_1_P.jpg","P",NA
"V331354","V331354_L1044_2_P.jpg","P",NA
"V331523","V331523_L1238_1_P.jpg","P",NA
"V332379","V332379_L2121_1_P.jpg","P",NA
