"Sample_ID","depth","zone"
"V330400_L0040",40,1
"V330455_L0095",95,1
"V330470_L110",110,1
"V330499_L0141",141,1
"V330519_L0161",161,1
"V330606_L0257",257,2
"V330611_L0262",262,2
"V330632_L0286",286,2
"V330640_L0294",294,2
"V330641_L0295",295,2
"V330643_L0297",297,2
"V330663_L0317",317,2
"V330692_L0349",349,2
"V331589_L1308",1308,3
"V331643_L1363",1363,3
"V331739_L1466",1466,3
"V331999_L1729",1729,3
"V332269_L2007",2007,3
"V332333_L2072",2072,3
"V332357_L2097",2097,3
"V332407_L2150",2150,3
"V332424_L2167",2167,4
"V332514_L2257",2257,4
"V332534_L2278",2278,4
"V332540_L2284",2284,4
"V332603_L2451",2451,4
"V332671_L2523",2523,4
"V332690_L2543",2543,4
"V332856_L2711",2711,4
"V332949_L2804",2804,4
"V333195_L3054",3054,4
"V333237_L3096",3096,4
"V333449_L3291",3291,4
"V333509_L3351",3351,4
"V333581_L3425",3425,4
"V333620_L3464",3464,4
"V333671_L3515",3515,4
"V333800_L3646",3646,4
"V333906_L3752",3752,4
"V333994_L3863",3863,5
"V356032_LXXXX",NA,5
"V356038_LXXXX",NA,5
"V356056_LXXXX",NA,5
"V356062_LXXXX",NA,5
"V356066_LXXXX",NA,5
"V356080_LXXXX",NA,5
"V356093_LXXXX",NA,5
"V356105_LXXXX",NA,5
"V356116_LXXXX",NA,5
"V356122_LXXXX",NA,5
"V356164_LXXXX",NA,5
"V356174_LXXXX",NA,5
"V356200_LXXXX",NA,5
"V356208_LXXXX",NA,5
"V356220_LXXXX",NA,5
"V356241_LXXXX",NA,5
"V356296_LXXXX",NA,5
"V356310_LXXXX",NA,5
"V356317_LXXXX",NA,5
