"Sample_ID","depth"
"V330400_L0040",40
"V330455_L0095",95
"V330470_L110",110
"V330499_L0141",141
"V330519_L0161",161
"V330606_L0257",257
"V330611_L0262",262
"V330632_L0286",286
"V330640_L0294",294
"V330641_L0295",295
"V330643_L0297",297
"V330663_L0317",317
"V330692_L0349",349
"V331589_L1308",1308
"V331643_L1363",1363
"V331739_L1466",1466
"V331999_L1729",1729
"V332269_L2007",2007
"V332333_L2072",2072
"V332357_L2097",2097
"V332407_L2150",2150
"V332424_L2167",2167
"V332514_L2257",2257
"V332534_L2278",2278
"V332540_L2284",2284
"V332603_L2451",2451
"V332671_L2523",2523
"V332690_L2543",2543
"V332856_L2711",2711
"V332949_L2804",2804
"V333195_L3054",3054
"V333237_L3096",3096
"V333449_L3291",3291
"V333509_L3351",3351
"V333581_L3425",3425
"V333620_L3464",3464
"V333671_L3515",3515
"V333800_L3646",3646
"V333906_L3752",3752
"V333994_L3863",3863
"V356032_LXXXX",NA
"V356038_LXXXX",NA
"V356056_LXXXX",NA
"V356062_LXXXX",NA
"V356066_LXXXX",NA
"V356080_LXXXX",NA
"V356093_LXXXX",NA
"V356105_LXXXX",NA
"V356116_LXXXX",NA
"V356122_LXXXX",NA
"V356164_LXXXX",NA
"V356174_LXXXX",NA
"V356200_LXXXX",NA
"V356208_LXXXX",NA
"V356220_LXXXX",NA
"V356241_LXXXX",NA
"V356296_LXXXX",NA
"V356310_LXXXX",NA
"V356317_LXXXX",NA
