Microfossil_Type,Morphotype,Genus_Type,Species,Variety,Sample_ID,Transect,Count,Recorder,,,,
Diatom,Araphid,NA,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Fragilaria,vaucheriae,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Fragilariales,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Odontidium,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Punctastriata,mimetica,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Pseudostaurosira,brevistriata,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Pseudostaurosira,trainorii,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosira,construens,construens,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosira,construens,binodis,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosira,construens,venter,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosirella,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosirella,leptostauron,leptostauron,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosirella,leptostauron,dubia,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Staurosirella,pinnata,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Araphid,Tetracyclus,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,NA,spp.,NA,V332333_L2072,1,5,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Amphora,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Amphora,coffeaeformis,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Cymbella,spp.,NA,V332333_L2072,1,5,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Cymbella,cymbiformis,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Encyonema,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Asymmetric_Biraphid,Gomphoneis,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,NA,spp.,NA,V332333_L2072,1,7,Megan O'toole,,,,
Diatom,Centric,Actinocyclus,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Alveophora,americana,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,spp.,NA,V332333_L2072,1,6,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,ambigua,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,canadensis,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,pusilla,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,subarctica,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Aulocoseira,tenella,NA,V332333_L2072,1,1,Megan O'toole,,,,
Diatom,Centric,Chaetoceros,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Cyclostephanos,tholiformis,NA,V332333_L2072,1,1,Megan O'toole,,,,
Diatom,Centric,Cyclotella,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Lindavia,rossii,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Centric,Pliocaenicus,spp.,NA,V332333_L2072,1,1,Megan O'toole,,,,
Diatom,Centric,Stephanodiscus,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Epithemioid,Epithemia,musculus,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Epithemioid,Epithemia,Rhopalodia,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Eunotioid,NA,spp.,NA,V332333_L2072,1,1,Megan O'toole,,,,
Diatom,Eunotioid,Eunotia,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Eunotioid,Semiorbis,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Monoraphid,NA,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Monoraphid,Cocconeis,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Monoraphid,Planothidium,apiculatum,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Monoraphid,Planothidium,delicatulum,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Nitzschioid,NA,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Nitzschioid,Nitzschia,fonticola,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Surirelloid,Surirella,amphioxys,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,NA,spp.,NA,V332333_L2072,1,3,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,Anomoeneis,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,Anomoeneis,sculpta,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,Craticula,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,Geissleria,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Symmetric_Biraphid,Navicula,spp.,NA,V332333_L2072,1,0,Megan O'toole,,,,
Diatom,Unknown_Fragment,NA,NA,NA,V332333_L2072,1,59,Megan O'toole,,,,
Phytolith,Acicular,NA,NA,NA,V332333_L2072,1,5,Megan O'toole,,,,
Phytolith,Acute,NA,NA,NA,V332333_L2072,1,0,Megan O'toole,,,,
Phytolith,Acute,Arcuate,NA,NA,V332333_L2072,1,0,Megan O'toole,,,,
Phytolith,Bilobate,NA,NA,NA,V332333_L2072,1,0,Megan O'toole,,,,
Phytolith,Blocky,NA,NA,NA,V332333_L2072,1,8,Megan O'toole,,,,
Phytolith,Brachiate,NA,NA,NA,V332333_L2072,1,2,Megan O'toole,,,,
