"Sample_ID","V_number","bin","sample_type","CSTRAT","YEAR","Unknown_Fragment","Centric","Pennates","Asymmetric_Biraphid","Symmetric_Biraphid","Araphid","Eunotioid","Surirelloid","Epithemioid","Monoraphid","Nitzschioid"
"V333671_L3515","V333671","L3515","Stickleback",659.7,4271.917,224,38,0,9,1,11,8,1,0,0,0
"V333620_L3464","V333620","L3464","Stickleback",656.6,4372.304,149,7,0,4,2,2,6,2,0,0,0
"V333509_L3351","V333509","L3351","Stickleback",651.55,4535.838,167,34,0,3,6,3,4,0,0,0,0
"V333195_L3054","V333195","L3054","Stickleback",642.45,4830.522,308,74,0,10,13,8,15,0,0,0,0
"V332856_L2711","V332856","L2711","Stickleback",639.45,4927.671,166,45,0,4,3,1,8,0,0,0,0
"V332690_L2543","V332690","L2543","Stickleback",636.6,5019.962,275,66,0,18,18,4,13,0,0,0,0
"V332949_L2804","V332949","L2804","Stickleback",633.7,5113.873,307,123,0,21,6,1,18,0,1,0,0
"V332671_L2523","V332671","L2523","Stickleback",630.9,5204.545,151,40,0,1,6,3,3,0,1,0,0
"V332603_L2451","V332603","L2451","Stickleback",627.9,5301.694,140,26,0,1,0,0,0,0,0,0,0
"V332514_L2257","V332514","L2257","Stickleback",625,5395.604,186,32,0,3,2,2,0,0,0,0,0
"V332534_L2278","V332534","L2278","Stickleback",620.4,5544.565,164,34,0,0,1,3,0,2,0,0,0
"V332424_L2167","V332424","L2167","Stickleback",617.1,5651.429,127,25,0,1,0,3,0,0,0,0,0
"V332269_L2007","V332269","L2007","Stickleback",475.1,10249.801,403,308,96,20,26,35,8,10,10,3,0
"V331999_L1729","V331999","L1729","Stickleback",467.45,10497.53,216,235,395,17,25,56,1,0,5,6,0
"V331643_L1363","V331643","L1363","Stickleback",458.05,10801.93,240,136,286,40,23,22,5,0,1,30,0
"V331589_L1308","V331589","L1308","Stickleback",455.15,10895.84,386,469,111,32,43,46,5,0,13,20,1
"V332407_L2150","V332407","L2150","Stickleback",447.2,11153.284,641,482,145,34,50,60,1,0,11,3,0
"V330499_L0141","V330499","L0141","Stickleback",413.4,12247.826,213,81,0,16,6,10,0,1,0,2,0
"V330692_L0349","V330692","L0349","Stickleback",104.85,22239.571,192,30,0,4,3,0,4,0,0,0,0
"V330611_L0262","V330611","L0262","Stickleback",99.45,22414.438,153,22,0,10,2,0,2,0,0,0,0
"V330606_L0257","V330606","L0257","Stickleback",94.55,22573.114,416,108,0,16,28,10,3,13,0,0,0
"V330640_L0294","V330640","L0294","Stickleback",89.75,22728.552,281,85,0,21,15,9,10,0,0,0,0
"V330641_L0295","V330641","L0295","Stickleback",89.15,22747.982,329,77,0,16,8,11,22,2,1,0,0
"V330663_L0317","V330663","L0317","Stickleback",86.95,22819.224,338,44,0,4,6,2,4,0,0,0,0
"V356032_LXXXX","V356032","LXXXX","Killifish",NA,NA,366,48,0,4,6,7,2,15,0,0,0
"V356038_LXXXX","V356038","LXXXX","Killifish",NA,NA,511,107,0,5,14,4,4,7,14,0,0
"V356056_LXXXX","V356056","LXXXX","Killifish",NA,NA,456,252,0,14,2,46,10,40,2,6,0
"V356062_LXXXX","V356062","LXXXX","Killifish",NA,NA,305,57,0,6,18,1,5,8,3,0,0
"V356066_LXXXX","V356066","LXXXX","Killifish",NA,NA,530,92,0,7,7,3,5,24,0,0,0
"V356080_LXXXX","V356080","LXXXX","Killifish",NA,NA,866,456,0,52,14,30,14,26,2,10,0
