"Taxon","total_count","n_samples","avg_count_per_sample","max_count_in_sample","rank","cumulative_percent"
"Unknown_Fragment",19868,59,336.7,940,1,58.8
"Centric",8613,59,146,520,2,84.3
"Pennates",1897,7,271,601,3,89.9
"Asymmetric_Biraphid",917,58,15.8,62,4,92.6
"Symmetric_Biraphid",760,54,14.1,43,5,94.8
"Araphid",743,54,13.8,50,6,97
"Eunotioid",446,49,9.1,56,7,98.4
"Surirelloid",264,28,9.4,40,8,99.1
"Epithemioid",147,28,5.2,24,9,99.6
"Monoraphid",136,16,8.5,29,10,100
"Nitzschioid",8,6,1.3,2,11,100
