L_SPEC_original,LSPEC,CSTRAT,ISTRAT,YEAR,INT,flag_reason
36,L0036,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
471.1,L0471,371.85,415.4,13593.336,13750,Conflicting duplicate values
471.2,L0471,370.05,417.2,13651.625,13750,Conflicting duplicate values
647,L0647,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
789,L0789,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
790,L0790,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
791,L0791,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
793,L0793,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
794,L0794,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
795,L0795,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
796,L0796,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
797,L0797,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
798,L0798,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
799,L0799,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
800,L0800,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
801,L0801,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
802,L0802,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
803,L0803,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
804,L0804,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
805,L0805,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
806,L0806,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
807,L0807,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
808,L0808,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
809,L0809,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
810,L0810,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
811,L0811,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
812,L0812,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
813,L0813,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
814,L0814,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
816,L0816,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
817,L0817,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
818,L0818,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
820,L0820,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
821,L0821,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
823,L0823,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
825,L0825,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
826,L0826,NA,419.4,13722.87,13750,Missing data in: CSTRAT
827,L0827,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
828,L0828,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
829,L0829,NA,NA,NA,NA,"Missing data in: CSTRAT, ISTRAT, YEAR, INT"
