fish_id,measure,part_value,part_scale,has_multiple_values.x,cpart_value,cpart_scale,has_multiple_values.y,var_type,scale,absolute_diff,relative_diff,exceeds_threshold,multiple_measurements
V330363,DS3,0,723.7928,TRUE,62.96825,692.4334,TRUE,continuous,708.1131,62.96825,0.08892400098232894,TRUE,TRUE
V330363,MCV,9,723.7928,TRUE,0,692.4334,TRUE,count,708.1131,9,0.0017890942183730633,TRUE,TRUE
V330363,MAV,5.5,723.7928,TRUE,0,692.4334,TRUE,count,708.1131,5.5,0.0010933353556724275,TRUE,TRUE
V330363,MDF,5.5,723.7928,TRUE,0,692.4334,TRUE,count,708.1131,5.5,0.0010933353556724275,TRUE,TRUE
V330363,MAF,4.5,723.7928,TRUE,0,692.4334,TRUE,count,708.1131,4.5,8.945471091865317e-4,TRUE,TRUE
V330363,MPT,0,723.7928,TRUE,2.5,692.4334,TRUE,count,708.1131,2.5,4.969706162147398e-4,TRUE,TRUE
V330365,DS3,65.7647,702.282,FALSE,0,692.0759,FALSE,continuous,697.17895,65.7647,0.09432972696608238,TRUE,FALSE
V330365,MCV,15,702.282,FALSE,0,692.0759,FALSE,count,697.17895,15,0.0029818236972884386,TRUE,FALSE
V330365,MAV,9,702.282,FALSE,0,692.0759,FALSE,count,697.17895,9,0.0017890942183730633,TRUE,FALSE
V330365,MPT,4,702.282,FALSE,0,692.0759,FALSE,count,697.17895,4,7.951529859435836e-4,TRUE,FALSE
V330385,DS2,0,704.1023,FALSE,196.8248,700.1028,FALSE,continuous,702.1025500000001,196.8248,0.28033625572218757,TRUE,FALSE
V330385,MAV,13,704.1023,FALSE,0,700.1028,FALSE,count,702.1025500000001,13,0.002584247204316647,TRUE,FALSE
V330390,DS2,329.12,712.1798,FALSE,0,690.8835,FALSE,continuous,701.53165,329.12,0.4691449060067354,TRUE,FALSE
V330390,DS3,210.2189,712.1798,FALSE,0,690.8835,FALSE,continuous,701.53165,210.2189,0.2996570432709629,TRUE,FALSE
V330390,MCV,0,712.1798,FALSE,16,690.8835,FALSE,count,701.53165,16,0.0031806119437743346,TRUE,FALSE
