"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0002",119.85,667.4,21753.827,22000
"L0004",139.55,647.7,21115.884,21250
"L0025",411.8,375.45,12299.639,12500
"L0030",458.45,328.8,10788.976,11000
"L0031",469.85,317.4,10419.811,10500
"L0032",463.95,323.3,10610.87,10750
"L0033",477.2,310.05,10181.797,10250
"L0035",486.7,300.55,9874.159,10000
"L0036",NA,NA,NA,NA
"L0037",498.5,288.75,9492.041,9500
"L0039",498.8,288.45,9482.326,9500
"L0040",497.2,290.05,9534.139,9750
"L0044",510.9,276.35,9090.493,9250
"L0045",508.4,278.85,9171.45,9250
"L0047",526,261.25,8601.511,8750
"L0051",534.8,252.45,8316.542,8500
"L0064",606.15,181.1,6006.022,6250
"L0065",605.95,181.3,6012.498,6250
"L0078",656.8,130.45,4365.828,4500
"L0090",733.1,54.15,1895.012,2000
"L0095",787.25,0,141.478,250
"L0098",245.9,541.35,17671.962,17750
"L0101",247.5,539.75,17620.15,17750
"L0102",241.85,545.4,17803.113,18000
"L0104",248.15,539.1,17599.101,17750
"L0106",251.85,535.4,17479.284,17500
"L0108",348.2,439.05,14359.191,14500
"L0110",464.15,323.1,10604.394,10750
"L0113",412.6,374.65,12273.732,12500
"L0114",337.8,449.45,14695.974,14750
"L0116",437.4,349.85,11470.637,11500
"L0120",411.6,375.65,12306.115,12500
"L0121",410.3,376.95,12348.213,12500
"L0122",409.9,377.35,12361.166,12500
"L0124",418.05,369.2,12097.246,12250
"L0125",409.4,377.85,12377.358,12500
"L0126",400.4,386.85,12668.804,12750
"L0130",427.85,359.4,11779.893,12000
"L0131",351.5,435.75,14252.328,14500
"L0132",428.65,358.6,11753.987,12000
"L0134",413.5,373.75,12244.588,12250
"L0135",413.5,373.75,12244.588,12250
"L0136",352.4,434.85,14223.183,14250
"L0137",352.9,434.35,14206.992,14250
"L0138",352.9,434.35,14206.992,14250
"L0141",413.4,373.85,12247.826,12250
"L0142",355.8,431.45,14113.081,14250
"L0144",332.6,454.65,14864.365,15000
"L0145",327.8,459.45,15019.803,15250
"L0146",323.3,463.95,15165.526,15250
"L0149",339.1,448.15,14653.876,14750
"L0151",325.5,461.75,15094.283,15250
"L0152",326.8,460.45,15052.185,15250
"L0153",343.4,443.85,14514.629,14750
"L0155",136.55,650.7,21213.033,21250
"L0158",341.4,445.85,14579.395,14750
"L0160",308.25,479,15652.888,15750
"L0161",316.9,470.35,15372.776,15500
"L0162",316.9,470.35,15372.776,15500
"L0163",326.5,460.75,15061.9,15250
"L0164",325.7,461.55,15087.807,15250
"L0165",331.6,455.65,14896.748,15000
"L0166",325.9,461.35,15081.33,15250
"L0167",335.8,451.45,14760.739,15000
"L0168",319.2,468.05,15298.296,15500
"L0169",320,467.25,15272.389,15500
"L0170",328,459.25,15013.326,15250
"L0171",336.4,450.85,14741.31,14750
"L0172",335.8,451.45,14760.739,15000
"L0174",330.6,456.65,14929.13,15000
"L0175",330.6,456.65,14929.13,15000
"L0176",329.9,457.35,14951.798,15000
"L0177",329.4,457.85,14967.99,15000
"L0178",329.6,457.65,14961.513,15000
"L0179",329.5,457.75,14964.752,15000
"L0180",331.5,455.75,14899.986,15000
"L0181",330.3,456.95,14938.845,15000
"L0182",418.85,368.4,12071.339,12250
"L0183",329.6,457.65,14961.513,15000
"L0184",351.2,436.05,14262.043,14500
"L0186",375.65,411.6,13470.281,13500
"L0187",331,456.25,14916.177,15000
"L0188",82.35,704.9,22968.186,23000
"L0190",330.3,456.95,14938.845,15000
"L0191",80.55,706.7,23026.475,23250
"L0192",351.2,436.05,14262.043,14500
"L0193",332,455.25,14883.794,15000
"L0194",347.3,439.95,14388.336,14500
"L0198",80.45,706.8,23029.713,23250
"L0199",80.35,706.9,23032.952,23250
"L0200",350.6,436.65,14281.472,14500
"L0201",349.1,438.15,14330.047,14500
"L0202",350.1,437.15,14297.664,14500
"L0203",352,435.25,14236.136,14250
"L0204",345.4,441.85,14449.863,14500
"L0205",345,442.25,14462.817,14500
"L0206",345,442.25,14462.817,14500
"L0207",343.7,443.55,14504.914,14750
"L0208",345,442.25,14462.817,14500
"L0209",350.2,437.05,14294.426,14500
"L0210",338.6,448.65,14670.067,14750
"L0211",83.55,703.7,22929.326,23000
"L0212",83.25,704,22939.041,23000
"L0213",345.9,441.35,14433.672,14500
"L0214",349.7,437.55,14310.617,14500
"L0215",95.45,691.8,22543.97,22750
"L0216",354.5,432.75,14155.179,14250
"L0217",351.8,435.45,14242.613,14250
"L0218",352.2,435.05,14229.66,14250
"L0219",351.1,436.15,14265.281,14500
"L0220",351.1,436.15,14265.281,14500
"L0221",354.3,432.95,14161.656,14250
"L0222",96.15,691.1,22521.302,22750
"L0223",93.45,693.8,22608.736,22750
"L0224",356.7,430.55,14083.937,14250
"L0225",96.35,690.9,22514.825,22750
"L0226",334.1,453.15,14815.79,15000
"L0227",95.55,691.7,22540.732,22750
"L0228",97.35,689.9,22482.442,22500
"L0229",359.6,427.65,13990.026,14000
"L0230",344.8,442.45,14469.293,14500
"L0231",95.75,691.5,22534.255,22750
"L0232",355.2,432.05,14132.511,14250
"L0233",97.85,689.4,22466.251,22500
"L0234",351.8,435.45,14242.613,14250
"L0235",89.85,697.4,22725.314,22750
"L0236",100.85,686.4,22369.102,22500
"L0237",93.85,693.4,22595.782,22750
"L0238",345,442.25,14462.817,14500
"L0239",344.9,442.35,14466.055,14500
"L0240",97.85,689.4,22466.251,22500
"L0241",342.3,444.95,14550.25,14750
"L0242",344.3,442.95,14485.485,14500
"L0243",100.85,686.4,22369.102,22500
"L0244",90.85,696.4,22692.931,22750
"L0245",108.25,679,22129.469,22250
"L0246",99.85,687.4,22401.485,22500
"L0247",100.05,687.2,22395.008,22500
"L0248",340.5,446.75,14608.54,14750
"L0249",353.1,434.15,14200.515,14250
"L0250",109.25,678,22097.086,22250
"L0251",99.55,687.7,22411.2,22500
"L0252",338.5,448.75,14673.306,14750
"L0253",111.85,675.4,22012.89,22250
"L0254",92.85,694.4,22628.165,22750
"L0255",360.9,426.35,13947.929,14000
"L0256",94.05,693.2,22589.306,22750
"L0257",94.55,692.7,22573.114,22750
"L0258",98.55,688.7,22443.583,22500
"L0259",100.85,686.4,22369.102,22500
"L0260",358.6,428.65,14022.409,14250
"L0261",358.6,428.65,14022.409,14250
"L0262",99.45,687.8,22414.438,22500
"L0263",343.5,443.75,14511.391,14750
"L0264",99.85,687.4,22401.485,22500
"L0265",351.2,436.05,14262.043,14500
"L0266",106.95,680.3,22171.566,22250
"L0267",109.55,677.7,22087.371,22250
"L0268",107.85,679.4,22142.422,22250
"L0269",351.9,435.35,14239.375,14250
"L0270",353.9,433.35,14174.609,14250
"L0271",109.75,677.5,22080.894,22250
"L0272",356.9,430.35,14077.46,14250
"L0273",99.15,688.1,22424.153,22500
"L0274",109.45,677.8,22090.609,22250
"L0275",92.55,694.7,22637.88,22750
"L0276",109.45,677.8,22090.609,22250
"L0277",91.05,696.2,22686.455,22750
"L0278",92.75,694.5,22631.404,22750
"L0279",92.75,694.5,22631.404,22750
"L0280",92.75,694.5,22631.404,22750
"L0281",91.65,695.6,22667.025,22750
"L0282",351.5,435.75,14252.328,14500
"L0283",351.6,435.65,14249.089,14250
"L0284",90.05,697.2,22718.837,22750
"L0285",97.05,690.2,22492.157,22500
"L0286",88.95,698.3,22754.459,23000
"L0287",356.7,430.55,14083.937,14250
"L0288",109.45,677.8,22090.609,22250
"L0289",346.1,441.15,14427.195,14500
"L0290",338.1,449.15,14686.259,14750
"L0291",340.5,446.75,14608.54,14750
"L0292",348.1,439.15,14362.43,14500
"L0293",349.5,437.75,14317.094,14500
"L0294",89.75,697.5,22728.552,22750
"L0295",89.15,698.1,22747.982,22750
"L0296",94.05,693.2,22589.306,22750
"L0297",89.65,697.6,22731.791,22750
"L0298",98.15,689.1,22456.536,22500
"L0299",93.65,693.6,22602.259,22750
"L0300",89.75,697.5,22728.552,22750
"L0301",89.75,697.5,22728.552,22750
"L0302",93.05,694.2,22621.689,22750
"L0303",345.3,441.95,14453.102,14500
"L0304",341,446.25,14592.348,14750
"L0305",95.35,691.9,22547.208,22750
"L0306",92.35,694.9,22644.357,22750
"L0307",350.9,436.35,14271.758,14500
"L0308",95.95,691.3,22527.778,22750
"L0309",346.9,440.35,14401.289,14500
"L0310",345.5,441.75,14446.625,14500
"L0311",346.9,440.35,14401.289,14500
"L0312",348.6,438.65,14346.238,14500
"L0313",336.3,450.95,14744.548,14750
"L0314",336.5,450.75,14738.071,14750
"L0315",334.4,452.85,14806.075,15000
"L0316",361.1,426.15,13941.452,14000
"L0317",86.95,700.3,22819.224,23000
"L0318",361.5,425.75,13928.499,14000
"L0319",99.95,687.3,22398.247,22500
"L0320",100.45,686.8,22382.055,22500
"L0321",108.05,679.2,22135.945,22250
"L0322",362.85,424.4,13884.782,14000
"L0323",336.7,450.55,14731.595,14750
"L0324",127.05,660.2,21520.67,21750
"L0325",344.7,442.55,14472.532,14500
"L0326",96.85,690.4,22498.634,22500
"L0327",340.5,446.75,14608.54,14750
"L0328",99.95,687.3,22398.247,22500
"L0329",346.2,441.05,14423.957,14500
"L0330",347.5,439.75,14381.859,14500
"L0331",349,438.25,14333.285,14500
"L0332",98.45,688.8,22446.821,22500
"L0333",361.8,425.45,13918.784,14000
"L0334",95.65,691.6,22537.493,22750
"L0335",101.25,686,22356.149,22500
"L0336",347.6,439.65,14378.621,14500
"L0337",352.9,434.35,14206.992,14250
"L0338",104.95,682.3,22236.332,22250
"L0339",104.95,682.3,22236.332,22250
"L0340",103.25,684,22291.383,22500
"L0341",103.95,683.3,22268.715,22500
"L0342",347.1,440.15,14394.813,14500
"L0343",333.9,453.35,14822.267,15000
"L0344",348.9,438.35,14336.523,14500
"L0345",99.45,687.8,22414.438,22500
"L0346",375.75,411.5,13467.042,13500
"L0347",105.15,682.1,22229.856,22250
"L0348",106.85,680.4,22174.805,22250
"L0349",104.85,682.4,22239.571,22250
"L0350",347.3,439.95,14388.336,14500
"L0351",349.4,437.85,14320.332,14500
"L0352",349.4,437.85,14320.332,14500
"L0353",347.8,439.45,14372.145,14500
"L0354",107.35,679.9,22158.613,22250
"L0355",99.65,687.6,22407.962,22500
"L0356",351.4,435.85,14255.566,14500
"L0357",107.25,680,22161.852,22250
"L0358",350.9,436.35,14271.758,14500
"L0359",112.05,675.2,22006.414,22250
"L0360",343.8,443.45,14501.676,14750
"L0361",344,443.25,14495.2,14500
"L0362",364.85,422.4,13820.016,14000
"L0363",92.75,694.5,22631.404,22750
"L0364",93.25,694,22615.212,22750
"L0365",369.55,417.7,13667.816,13750
"L0366",347.3,439.95,14388.336,14500
"L0367",347.6,439.65,14378.621,14500
"L0368",341.7,445.55,14569.68,14750
"L0369",340.8,446.45,14598.825,14750
"L0370",351.4,435.85,14255.566,14500
"L0371",351.1,436.15,14265.281,14500
"L0372",345.9,441.35,14433.672,14500
"L0373",336.3,450.95,14744.548,14750
"L0374",348.4,438.85,14352.715,14500
"L0375",335.6,451.65,14767.216,15000
"L0376",339.1,448.15,14653.876,14750
"L0377",349.9,437.35,14304.14,14500
"L0378",339.9,447.35,14627.969,14750
"L0379",338.1,449.15,14686.259,14750
"L0380",350.9,436.35,14271.758,14500
"L0381",91.35,695.9,22676.74,22750
"L0382",114.55,672.7,21925.456,22000
"L0383",115.35,671.9,21899.55,22000
"L0384",329.3,457.95,14971.228,15000
"L0385",116.65,670.6,21857.452,22000
"L0386",334.1,453.15,14815.79,15000
"L0387",415.55,371.7,12178.203,12250
"L0388",113.95,673.3,21944.886,22000
"L0389",334.3,452.95,14809.314,15000
"L0390",115.45,671.8,21896.312,22000
"L0391",115.95,671.3,21880.12,22000
"L0392",94.05,693.2,22589.306,22750
"L0393",334.7,452.55,14796.361,15000
"L0394",272.75,514.5,16802.481,17000
"L0395",107.55,679.7,22152.137,22250
