"","LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"1","L0002",119.85,667.4,21753.827,22000
"2","L0004",139.55,647.7,21115.884,21250
"3","L0025",411.8,375.45,12299.639,12500
"4","L0030",458.45,328.8,10788.976,11000
"5","L0031",469.85,317.4,10419.811,10500
"6","L0032",463.95,323.3,10610.87,10750
"7","L0033",477.2,310.05,10181.797,10250
"8","L0035",486.7,300.55,9874.159,10000
"9","L0036",NA,NA,NA,NA
"10","L0037",498.5,288.75,9492.041,9500
"11","L0039",498.8,288.45,9482.326,9500
"12","L0040",497.2,290.05,9534.139,9750
"13","L0044",510.9,276.35,9090.493,9250
"14","L0045",508.4,278.85,9171.45,9250
"15","L0047",526,261.25,8601.511,8750
"16","L0051",534.8,252.45,8316.542,8500
"17","L0064",606.15,181.1,6006.022,6250
"18","L0065",605.95,181.3,6012.498,6250
"19","L0078",656.8,130.45,4365.828,4500
"20","L0090",733.1,54.15,1895.012,2000
"21","L0095",787.25,0,141.478,250
"22","L0098",245.9,541.35,17671.962,17750
"23","L0101",247.5,539.75,17620.15,17750
"24","L0102",241.85,545.4,17803.113,18000
"25","L0104",248.15,539.1,17599.101,17750
"26","L0106",251.85,535.4,17479.284,17500
"27","L0108",348.2,439.05,14359.191,14500
"28","L0110",464.15,323.1,10604.394,10750
"29","L0113",412.6,374.65,12273.732,12500
"30","L0114",337.8,449.45,14695.974,14750
"31","L0116",437.4,349.85,11470.637,11500
"32","L0120",411.6,375.65,12306.115,12500
"33","L0121",410.3,376.95,12348.213,12500
"34","L0122",409.9,377.35,12361.166,12500
"35","L0124",418.05,369.2,12097.246,12250
"36","L0125",409.4,377.85,12377.358,12500
"37","L0126",400.4,386.85,12668.804,12750
"38","L0130",427.85,359.4,11779.893,12000
"39","L0131",351.5,435.75,14252.328,14500
"40","L0132",428.65,358.6,11753.987,12000
"41","L0134",413.5,373.75,12244.588,12250
"42","L0135",413.5,373.75,12244.588,12250
"43","L0136",352.4,434.85,14223.183,14250
"44","L0137",352.9,434.35,14206.992,14250
"45","L0138",352.9,434.35,14206.992,14250
"46","L0141",413.4,373.85,12247.826,12250
"47","L0142",355.8,431.45,14113.081,14250
"48","L0144",332.6,454.65,14864.365,15000
"49","L0145",327.8,459.45,15019.803,15250
"50","L0146",323.3,463.95,15165.526,15250
"51","L0149",339.1,448.15,14653.876,14750
"52","L0151",325.5,461.75,15094.283,15250
"53","L0152",326.8,460.45,15052.185,15250
"54","L0153",343.4,443.85,14514.629,14750
"55","L0155",136.55,650.7,21213.033,21250
"56","L0158",341.4,445.85,14579.395,14750
"57","L0160",308.25,479,15652.888,15750
"58","L0161",316.9,470.35,15372.776,15500
"59","L0162",316.9,470.35,15372.776,15500
"60","L0163",326.5,460.75,15061.9,15250
"61","L0164",325.7,461.55,15087.807,15250
"62","L0165",331.6,455.65,14896.748,15000
"63","L0166",325.9,461.35,15081.33,15250
"64","L0167",335.8,451.45,14760.739,15000
"65","L0168",319.2,468.05,15298.296,15500
"66","L0169",320,467.25,15272.389,15500
"67","L0170",328,459.25,15013.326,15250
"68","L0171",336.4,450.85,14741.31,14750
"69","L0172",335.8,451.45,14760.739,15000
"70","L0174",330.6,456.65,14929.13,15000
"71","L0175",330.6,456.65,14929.13,15000
"72","L0176",329.9,457.35,14951.798,15000
"73","L0177",329.4,457.85,14967.99,15000
"74","L0178",329.6,457.65,14961.513,15000
"75","L0179",329.5,457.75,14964.752,15000
"76","L0180",331.5,455.75,14899.986,15000
"77","L0181",330.3,456.95,14938.845,15000
"78","L0182",418.85,368.4,12071.339,12250
"79","L0183",329.6,457.65,14961.513,15000
"80","L0184",351.2,436.05,14262.043,14500
"81","L0186",375.65,411.6,13470.281,13500
"82","L0187",331,456.25,14916.177,15000
"83","L0188",82.35,704.9,22968.186,23000
"84","L0190",330.3,456.95,14938.845,15000
"85","L0191",80.55,706.7,23026.475,23250
"86","L0192",351.2,436.05,14262.043,14500
"87","L0193",332,455.25,14883.794,15000
"88","L0194",347.3,439.95,14388.336,14500
"89","L0198",80.45,706.8,23029.713,23250
"90","L0199",80.35,706.9,23032.952,23250
"91","L0200",350.6,436.65,14281.472,14500
"92","L0201",349.1,438.15,14330.047,14500
"93","L0202",350.1,437.15,14297.664,14500
"94","L0203",352,435.25,14236.136,14250
"95","L0204",345.4,441.85,14449.863,14500
"96","L0205",345,442.25,14462.817,14500
"97","L0206",345,442.25,14462.817,14500
"98","L0207",343.7,443.55,14504.914,14750
"99","L0208",345,442.25,14462.817,14500
"100","L0209",350.2,437.05,14294.426,14500
"101","L0210",338.6,448.65,14670.067,14750
"102","L0211",83.55,703.7,22929.326,23000
"103","L0212",83.25,704,22939.041,23000
"104","L0213",345.9,441.35,14433.672,14500
"105","L0214",349.7,437.55,14310.617,14500
"106","L0215",95.45,691.8,22543.97,22750
"107","L0216",354.5,432.75,14155.179,14250
"108","L0217",351.8,435.45,14242.613,14250
"109","L0218",352.2,435.05,14229.66,14250
"110","L0219",351.1,436.15,14265.281,14500
"111","L0220",351.1,436.15,14265.281,14500
"112","L0221",354.3,432.95,14161.656,14250
"113","L0222",96.15,691.1,22521.302,22750
"114","L0223",93.45,693.8,22608.736,22750
"115","L0224",356.7,430.55,14083.937,14250
"116","L0225",96.35,690.9,22514.825,22750
"117","L0226",334.1,453.15,14815.79,15000
"118","L0227",95.55,691.7,22540.732,22750
"119","L0228",97.35,689.9,22482.442,22500
"120","L0229",359.6,427.65,13990.026,14000
"121","L0230",344.8,442.45,14469.293,14500
"122","L0231",95.75,691.5,22534.255,22750
"123","L0232",355.2,432.05,14132.511,14250
"124","L0233",97.85,689.4,22466.251,22500
"125","L0234",351.8,435.45,14242.613,14250
"126","L0235",89.85,697.4,22725.314,22750
"127","L0236",100.85,686.4,22369.102,22500
"128","L0237",93.85,693.4,22595.782,22750
