"Sample_ID","V_number","LSPEC","sample_type","CSTRAT","YEAR","notes"
"V330400_L0040","V330400","L0040","Stickleback",NA,NA,"Missing age/depth data"
"V330455_L0095","V330455","L0095","Stickleback",NA,NA,"Missing age/depth data"
"V330470_L110","V330470","L0110","Stickleback",NA,NA,"Missing age/depth data"
"V330499_L0141","V330499","L0141","Stickleback",413.4,12247.826,""
"V330519_L0161","V330519","L0161","Stickleback",NA,NA,"Missing age/depth data"
"V330606_L0257","V330606","L0257","Stickleback",94.55,22573.114,""
"V330611_L0262","V330611","L0262","Stickleback",99.45,22414.438,""
"V330632_L0286","V330632","L0286","Stickleback",NA,NA,"Missing age/depth data"
"V330640_L0294","V330640","L0294","Stickleback",89.75,22728.552,""
"V330641_L0295","V330641","L0295","Stickleback",89.15,22747.982,""
"V330643_L0297","V330643","L0297","Stickleback",NA,NA,"Missing age/depth data"
"V330663_L0317","V330663","L0317","Stickleback",86.95,22819.224,""
"V330692_L0349","V330692","L0349","Stickleback",104.85,22239.571,""
"V331589_L1308","V331589","L1308","Stickleback",455.15,10895.84,""
"V331643_L1363","V331643","L1363","Stickleback",458.05,10801.93,""
"V331739_L1466","V331739","L1466","Stickleback",NA,NA,"Missing age/depth data"
"V331999_L1729","V331999","L1729","Stickleback",467.45,10497.53,""
"V332269_L2007","V332269","L2007","Stickleback",475.1,10249.801,""
"V332333_L2072","V332333","L2072","Stickleback",NA,NA,"Missing age/depth data"
"V332357_L2097","V332357","L2097","Stickleback",NA,NA,"Missing age/depth data"
"V332407_L2150","V332407","L2150","Stickleback",447.2,11153.284,""
"V332424_L2167","V332424","L2167","Stickleback",617.1,5651.429,""
"V332514_L2257","V332514","L2257","Stickleback",625,5395.604,""
"V332534_L2278","V332534","L2278","Stickleback",620.4,5544.565,""
"V332540_L2284","V332540","L2284","Stickleback",NA,NA,"Missing age/depth data"
"V332603_L2451","V332603","L2451","Stickleback",627.9,5301.694,""
"V332671_L2523","V332671","L2523","Stickleback",630.9,5204.545,""
"V332690_L2543","V332690","L2543","Stickleback",636.6,5019.962,""
"V332856_L2711","V332856","L2711","Stickleback",639.45,4927.671,""
"V332949_L2804","V332949","L2804","Stickleback",633.7,5113.873,""
"V333195_L3054","V333195","L3054","Stickleback",642.45,4830.522,""
"V333237_L3096","V333237","L3096","Stickleback",NA,NA,"Missing age/depth data"
"V333449_L3291","V333449","L3291","Stickleback",NA,NA,"Missing age/depth data"
"V333509_L3351","V333509","L3351","Stickleback",651.55,4535.838,""
"V333581_L3425","V333581","L3425","Stickleback",NA,NA,"Missing age/depth data"
"V333620_L3464","V333620","L3464","Stickleback",656.6,4372.304,""
"V333671_L3515","V333671","L3515","Stickleback",659.7,4271.917,""
"V333800_L3646","V333800","L3646","Stickleback",NA,NA,"Missing age/depth data"
"V333906_L3752","V333906","L3752","Stickleback",NA,NA,"Missing age/depth data"
"V333994_L3863","V333994","L3863","Stickleback",NA,NA,"Missing age/depth data"
