V_number,Diatom_Araphid,Diatom_Asymmetric_Biraphid,Diatom_Centric,Diatom_Eunotioid,Diatom_Surirelloid,Diatom_Symmetric_Biraphid,Diatom_Unknown_Fragment,Phytolith_Acicular,Phytolith_Acute,Phytolith_Blocky,Phytolith_Brachiate,Phytolith_Elongate,Phytolith_Oblong,Phytolith_Polygonal,Phytolith_Polyhedral,Phytolith_Rondel,Phytolith_Spheroid,Phytolith_Tracheary_annulate,Phytolith_Unknown_Fragment,Diatom_Epithemioid,Phytolith_Bilobate,Diatom_Monoraphid,Phytolith_Bulliform_flabellate,Diatom_Nitzschioid,Sample_ID,sample_type,CSTRAT,YEAR
V356032,7,4,48,2,15,6,366,32,2,22,18,18,25,15,24,1,73,4,188,0,0,0,0,0,V356032_LXXXX,Killifish,NA,NA
V356038,4,5,107,4,7,14,511,45,1,64,16,46,86,0,43,6,108,3,386,14,5,0,0,0,V356038_LXXXX,Killifish,NA,NA
V356056,46,14,252,10,40,2,456,88,0,102,0,158,74,138,20,10,166,44,318,2,4,6,2,0,V356056_LXXXX,Killifish,NA,NA
V356062,1,6,57,5,8,18,305,40,3,52,6,34,76,3,34,4,114,5,316,3,1,0,0,0,V356062_LXXXX,Killifish,NA,NA
V356066,3,7,92,5,24,7,530,47,8,33,22,51,56,66,60,1,117,3,292,0,0,0,0,0,V356066_LXXXX,Killifish,NA,NA
V356080,30,52,456,14,26,14,866,80,0,224,18,296,132,12,92,54,188,64,310,2,8,10,8,0,V356080_LXXXX,Killifish,NA,NA
V356093,22,18,88,20,32,0,488,44,0,38,18,88,36,74,6,10,126,6,286,0,2,2,0,0,V356093_LXXXX,Killifish,NA,NA
V356105,6,3,99,5,4,12,409,58,4,86,10,57,78,6,68,4,139,4,394,0,1,0,0,0,V356105_LXXXX,Killifish,NA,NA
V356116,9,4,60,1,0,10,248,55,1,32,9,42,48,35,57,6,63,7,244,0,0,0,0,0,V356116_LXXXX,Killifish,NA,NA
V356122,7,3,91,1,0,10,298,42,1,57,4,45,52,112,40,5,97,0,229,0,0,0,0,0,V356122_LXXXX,Killifish,NA,NA
V356164,16,42,222,28,2,4,560,44,0,112,20,228,94,12,64,38,238,32,554,2,6,0,4,0,V356164_LXXXX,Killifish,NA,NA
V356174,0,38,176,10,0,26,468,46,44,108,0,128,60,2,140,20,192,0,442,0,4,0,0,0,V356174_LXXXX,Killifish,NA,NA
V356200,2,2,23,6,0,2,110,10,4,28,4,30,72,0,38,3,64,3,171,0,3,0,0,0,V356200_LXXXX,Killifish,NA,NA
V356208,12,30,192,20,0,6,484,64,0,104,16,264,74,4,64,12,208,30,676,2,2,0,0,0,V356208_LXXXX,Killifish,NA,NA
V356220,16,8,308,6,8,34,628,42,0,124,4,160,108,6,70,56,154,42,388,4,0,2,0,2,V356220_LXXXX,Killifish,NA,NA
V356241,0,6,188,18,0,8,462,30,0,146,16,370,60,10,124,22,234,28,904,0,2,0,2,0,V356241_LXXXX,Killifish,NA,NA
V356296,34,40,482,0,8,2,414,48,4,130,8,192,106,8,70,30,192,56,330,6,8,0,2,0,V356296_LXXXX,Killifish,NA,NA
V356310,15,6,29,1,4,20,457,50,2,38,4,34,44,0,24,1,76,6,131,0,0,0,0,0,V356310_LXXXX,Killifish,NA,NA
V356317,34,80,942,66,28,28,940,54,0,272,8,474,150,36,98,76,324,62,692,28,28,2,2,0,V356317_LXXXX,Killifish,NA,NA
