Morphotype,Stickleback_Total,Killifish_Total,Stickleback_Samples,Killifish_Samples,Total,Microfossil_Type
Diatom_Unknown_Fragment,10868,9000,40,19,19868,Diatom
Phytolith_Unknown_Fragment,10530,7251,40,19,17781,Phytolith
Diatom_Centric,4701,3912,40,19,8613,Diatom
Phytolith_Spheroid,5099,2873,39,19,7972,Phytolith
Phytolith_Elongate,3932,2715,40,19,6647,Phytolith
Phytolith_Oblong,3521,1431,40,19,4952,Phytolith
Phytolith_Blocky,2024,1772,40,19,3796,Phytolith
Phytolith_Polyhedral,2047,1136,40,19,3183,Phytolith
Diatom_Pennates,1897,0,7,0,1897,Diatom
Phytolith_Polygonal,1336,539,30,16,1875,Phytolith
Phytolith_Acicular,789,919,38,19,1708,Phytolith
Phytolith_Tracheary_annulate,558,399,39,17,957,Phytolith
Diatom_Asymmetric_Biraphid,549,368,39,19,917,Diatom
Phytolith_Rondel,508,359,38,19,867,Phytolith
Phytolith_Acute,766,74,30,11,840,Phytolith
Diatom_Symmetric_Biraphid,537,223,36,18,760,Diatom
Diatom_Araphid,479,264,37,17,743,Diatom
Phytolith_Brachiate,261,201,35,17,462,Phytolith
Diatom_Eunotioid,224,222,31,18,446,Diatom
Phytolith_Bulliform_flabellate,323,20,13,6,343,Phytolith
Diatom_Surirelloid,58,206,15,13,264,Diatom
Phytolith_Bilobate,159,74,35,13,233,Phytolith
Diatom_Epithemioid,84,63,19,9,147,Diatom
Diatom_Monoraphid,114,22,11,5,136,Diatom
Phytolith_Saddle,10,0,6,0,10,Phytolith
Diatom_Nitzschioid,6,2,5,1,8,Diatom
Phytolith_Cross,8,0,6,0,8,Phytolith
Phytolith_Geniculate,8,0,5,0,8,Phytolith
Phytolith_Crenate,7,0,3,0,7,Phytolith
