UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,2,120.4,1,1,5,2,119.85,667.4,21753.827,22000,
,4,140.1,1,1,6,2,139.55,647.7,21115.884,21250,
,25,428.4,2.2,        .   ,        .   ,        .   ,411.8,375.45,12299.639,12500,
,30,475.8,3,2,6,0,458.45,328.8,10788.976,11000,
,31,487.2,1.4,1,6,0,469.85,317.4,10419.811,10500,
,32,481.3,3,2,5,0,463.95,323.3,10610.87,10750,
,33,495.4,1,1,4,0,477.2,310.05,10181.797,10250,
,35,504.9,1.4,1,4,1,486.7,300.55,9874.159,10000,
,36,17.5,,,,,,,,,1
,37,521.3,3,1,6,3,498.5,288.75,9492.041,9500,
,39,521.6,3,1,7,4,498.8,288.45,9482.326,9500,
,40,520,3,1,5,2,497.2,290.05,9534.139,9750,
,44,536.7,3,1,6,2,510.9,276.35,9090.493,9250,1
,45,534.2,3,2,5,3,508.4,278.85,9171.45,9250,
,47,551.9,3,2,        .   ,        .   ,526,261.25,8601.511,8750,
,51,560.7,3,2,5,2,534.8,252.45,8316.542,8500,
,64,632.6,3,3,6,3,606.15,181.1,6006.022,6250,
,65,632.4,        .   ,        .   ,        .   ,        .   ,605.95,181.3,6012.498,6250,
,78,685.3,        .   ,        .   ,        .   ,        .   ,656.8,130.45,4365.828,4500,
,90,763.3,1,2,5,2,733.1,54.15,1895.012,2000,
,95,820,        .   ,1,        .   ,        .   ,787.25,0,141.478,250,
,98,254.8,1,0,        .   ,        .   ,245.9,541.35,17671.962,17750,
,101,256.4,1,        .   ,        .   ,        .   ,247.5,539.75,17620.15,17750,
,102,250.8,1,1,5,2,241.85,545.4,17803.113,18000,
,104,256.9,        .   ,1,5,3,248.15,539.1,17599.101,17750,
,106,260.6,1,1,5,3,251.85,535.4,17479.284,17500,
,108,364.3,0,1,5,3,348.2,439.05,14359.191,14500,
,110,481.5,3,        .   ,        .   ,        .   ,464.15,323.1,10604.394,10750,
,113,429.2,2.2,1,5,2,412.6,374.65,12273.732,12500,
,114,353.9,1,2,5,2,337.8,449.45,14695.974,14750,
,116,454.2,1,1,6,2,437.4,349.85,11470.637,11500,
,120,428.2,2.4,1,5,3,411.6,375.65,12306.115,12500,
,121,426.9,        .   ,        .   ,        .   ,        .   ,410.3,376.95,12348.213,12500,
,122,426.5,1,0,5,2,409.9,377.35,12361.166,12500,
,124,434.7,        .   ,        .   ,        .   ,        .   ,418.05,369.2,12097.246,12250,
,125,426,1,2,5,3,409.4,377.85,12377.358,12500,
,126,417,        .   ,        .   ,        .   ,        .   ,400.4,386.85,12668.804,12750,
,130,444.5,1,1,6,3,427.85,359.4,11779.893,12000,
,131,367.6,0,1,6,3,351.5,435.75,14252.328,14500,
,132,445.3,1,1,6,3,428.65,358.6,11753.987,12000,
,134,430.1,3,1,6,2,413.5,373.75,12244.588,12250,
,135,430.1,1,1,6,3,413.5,373.75,12244.588,12250,
,136,368.5,1,1,6,4,352.4,434.85,14223.183,14250,
,137,369,1,1,5,3,352.9,434.35,14206.992,14250,
,138,369,1,1,7,4,352.9,434.35,14206.992,14250,
,141,430,3,1,5,2,413.4,373.85,12247.826,12250,2
,142,371.9,1,0,5,2,355.8,431.45,14113.081,14250,1
,144,348.7,1,1,6,2,332.6,454.65,14864.365,15000,
,145,343.8,1,1,5,2,327.8,459.45,15019.803,15250,1
,146,339.3,        .   ,        .   ,        .   ,        .   ,323.3,463.95,15165.526,15250,
,149,355.2,        .   ,        .   ,5,2,339.1,448.15,14653.876,14750,
,151,341.5,1,1,5,2,325.5,461.75,15094.283,15250,
,152,342.8,1,1,5,3,326.8,460.45,15052.185,15250,
,153,359.5,1,0,6,3,343.4,443.85,14514.629,14750,
,155,137.1,1,1,5,2,136.55,650.7,21213.033,21250,
,158,357.5,1,1,5,2,341.4,445.85,14579.395,14750,
,160,323.4,1,2,5,2,308.25,479,15652.888,15750,
,161,332.9,1,1,5,2,316.9,470.35,15372.776,15500,
,162,332.9,1,2,5,2,316.9,470.35,15372.776,15500,
,163,342.5,1,        .   ,        .   ,        .   ,326.5,460.75,15061.9,15250,
,164,341.7,1,2,        .   ,        .   ,325.7,461.55,15087.807,15250,
,165,347.7,2.3,2,5,2,331.6,455.65,14896.748,15000,
,166,341.9,1,        .   ,5,2,325.9,461.35,15081.33,15250,
,167,351.9,        .   ,1,5,2,335.8,451.45,14760.739,15000,2
,168,335.2,        .   ,        .   ,        .   ,        .   ,319.2,468.05,15298.296,15500,
,169,336,1,1,5,2,320,467.25,15272.389,15500,
,170,344,1,1,5,2,328,459.25,15013.326,15250,
,171,352.5,        .   ,        .   ,        .   ,        .   ,336.4,450.85,14741.31,14750,
,172.1,351.9,2.2,2,6,2,335.8,451.45,14760.739,15000,
,172.2,351.9,1,2,5,2,335.8,451.45,14760.739,15000,
,174,346.7,1,1,5,2,330.6,456.65,14929.13,15000,2
,175,346.7,        .   ,        .   ,        .   ,        .   ,330.6,456.65,14929.13,15000,
,176,346,1,2,5,2,329.9,457.35,14951.798,15000,
,177,345.5,3,        .   ,        .   ,        .   ,329.4,457.85,14967.99,15000,
,178,345.7,1,1,5,2,329.6,457.65,14961.513,15000,
,179.1,345.6,1,1,5,2,329.5,457.75,14964.752,15000,3
,179.2,345.6,1,1,5,3,329.5,457.75,14964.752,15000,
,179.3,345.6,        .   ,        .   ,        .   ,        .   ,329.5,457.75,14964.752,15000,
,179.4,345.6,1,2,        .   ,        .   ,329.5,457.75,14964.752,15000,
,180,347.6,1,1,5,2,331.5,455.75,14899.986,15000,
,181,346.4,1,1,5,3,330.3,456.95,14938.845,15000,2
,182,435.5,1,2,5,3,418.85,368.4,12071.339,12250,
,183,345.7,        .   ,        .   ,        .   ,        .   ,329.6,457.65,14961.513,15000,
,184,367.3,1,        .   ,        .   ,        .   ,351.2,436.05,14262.043,14500,
,186,391.7,3,2,6,3,375.65,411.6,13470.281,13500,
,187,347.1,1,0,6,2,331,456.25,14916.177,15000,
,188,82.9,        .   ,        .   ,        .   ,        .   ,82.35,704.9,22968.186,23000,
,190,346.4,1,1,        .   ,        .   ,330.3,456.95,14938.845,15000,
,191,81,        .   ,        .   ,        .   ,        .   ,80.55,706.7,23026.475,23250,
,192,367.3,3,        .   ,        .   ,        .   ,351.2,436.05,14262.043,14500,3
,193,348.1,1,1,5,2,332,455.25,14883.794,15000,2
,194,363.4,1,2,5,2,347.3,439.95,14388.336,14500,
,198,80.9,        .   ,        .   ,        .   ,        .   ,80.45,706.8,23029.713,23250,
,199,80.8,        .   ,        .   ,        .   ,        .   ,80.35,706.9,23032.952,23250,
,200,366.7,1,1,6,4,350.6,436.65,14281.472,14500,
,201,365.2,1,2,5,2,349.1,438.15,14330.047,14500,
,202,366.2,1,1,5,2,350.1,437.15,14297.664,14500,
,203,368.1,1,2,5,2,352,435.25,14236.136,14250,
,204,361.5,1,1,5,2,345.4,441.85,14449.863,14500,
